location_id|city|state|country|postal_code
1|Ronaldfort|New Mexico|Saint Kitts and Nevis|61495
2|East Steven|South Dakota|Gabon|84070
3|Hernandezbury|Idaho|New Zealand|07077
4|Fernandezside|North Dakota|Uruguay|34273
5|Maryfurt|West Virginia|Afghanistan|06326
6|East Beth|Colorado|Myanmar|35834
7|Amandaport|Louisiana|Ecuador|56903
8|Lake Mary|Idaho|Christmas Island|28628
9|West Gabrielle|Illinois|Saint Kitts and Nevis|37918
10|West John|Oklahoma|Algeria|50595
11|Marytown|Wyoming|Greece|18559
12|East Ann|Kansas|Cayman Islands|96405
13|Lambertland|North Carolina|Saint Barthelemy|27241
14|New Shane|Vermont|Anguilla|72971
15|Port Amyshire|Montana|Korea|23706
16|Port Ashley|Vermont|Uzbekistan|88507
17|Hughesmouth|Michigan|Albania|21652
18|Frankstad|Minnesota|Israel|77617
19|Gomezmouth|Georgia|French Polynesia|65535
20|Port Jose|Kentucky|Turkey|14832
21|Lake Christopherland|Iowa|United States Minor Outlying Islands|38537
22|West Jasmineview|Indiana|Indonesia|04398
23|Ericaland|Ohio|Liechtenstein|70625
24|Port Noah|Hawaii|Slovakia (Slovak Republic)|35574
25|New Autumnside|Mississippi|Singapore|10543
26|Estradamouth|Oklahoma|Bolivia|79885
27|Lake Elizabeth|Oklahoma|Seychelles|98031
28|West Elizabethborough|Maine|Liberia|08692
29|New Andremouth|Indiana|Burkina Faso|12437
30|Cassiechester|South Carolina|Italy|37503
31|Morrismouth|Massachusetts|Philippines|76760
32|West Timothy|New Jersey|Azerbaijan|38867
33|East Larryberg|Arkansas|France|41983
34|New Chelseaport|Tennessee|Cayman Islands|20666
35|South Sheilaland|Mississippi|Iraq|28373
36|Rachelborough|Ohio|Honduras|43572
37|West Tabitha|Wyoming|Ecuador|02084
38|Rothport|Massachusetts|Ghana|68788
39|North Karen|North Carolina|Andorra|67622
40|South Colleenfort|Georgia|Taiwan|94981
41|Lake Wendy|Florida|Eritrea|66355
42|South Valerie|Alabama|Finland|41921
43|East Jenniferview|New Hampshire|Syrian Arab Republic|79742
44|South Royville|Colorado|Montenegro|37339
45|Anthonyland|South Carolina|Honduras|77075
46|Thompsonbury|Nebraska|Turks and Caicos Islands|35177
47|West Meghan|Louisiana|Heard Island and McDonald Islands|15801
48|Karenview|Louisiana|Cameroon|04988
49|Elliottborough|Idaho|Jordan|87825
50|East Theresa|Nebraska|Bangladesh|62665
