interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
4222553|1259|76|2|43|In-Person|1
1794713|169|57|4|40|Email|5
5295611|580|49|3|1|Chat|4
2469488|1773|78|2|23|Email|5
1087304|1348|99|3|5|Call|2
8046175|203|99|3|38|Call|2
3159688|713|87|4|13|Email|5
4661156|1374|63|2|32|Email|1
3034127|1057|8|2|30|Call|3
1071289|922|19|3|7|Email|3
5334157|44|57|4|30|Call|3
8116745|242|93|2|29|Call|4
4595940|482|100|5|37|Chat|3
1545915|765|100|3|2|In-Person|1
8238385|1479|48|3|49|In-Person|1
2498870|82|81|5|4|Call|5
2963930|85|20|3|34|Call|3
2837327|1187|60|2|1|Call|1
1650864|873|21|3|5|Chat|2
9548655|622|94|4|22|Call|5
8328555|1206|56|5|40|In-Person|2
7109707|119|3|3|46|Email|5
1466416|1313|34|4|8|Chat|3
334147|952|44|3|2|Email|5
4435991|469|59|4|19|Email|5
6973358|1372|27|3|1|Chat|2
718295|1135|99|4|43|Call|2
9149953|1441|45|5|43|Call|5
6832566|1754|42|3|35|In-Person|5
2734778|493|26|3|32|Call|3
8176041|207|87|5|22|In-Person|1
115807|287|27|1|45|Chat|2
6579490|285|56|2|27|Chat|5
3995614|1536|74|5|3|Chat|2
8468528|316|48|2|5|Chat|5
6231947|1001|73|4|21|Chat|4
9915699|1067|70|3|27|Chat|4
9129168|1031|36|1|8|In-Person|5
2484928|1188|94|5|2|Email|1
8938633|187|9|1|15|Email|5
747708|149|63|1|20|Chat|2
5790705|462|55|5|23|Chat|5
8567351|675|46|4|20|In-Person|3
5451145|1463|70|1|35|Email|5
1494469|179|23|1|18|Chat|5
7378964|1345|33|2|46|Email|2
289233|877|86|2|29|Email|4
7345657|1364|13|2|23|Chat|5
6920993|1576|92|2|31|Call|1
9040021|521|56|4|43|Email|4
6760983|601|97|5|29|Email|2
4882247|1600|98|5|9|In-Person|3
2678973|1512|45|5|30|Call|1
2592404|672|10|3|2|Call|1
7549531|1310|78|2|7|Chat|4
8830712|1700|17|4|21|Email|1
6066549|563|47|1|10|Chat|2
7965003|1119|72|5|35|Email|4
3807370|512|20|2|23|Chat|2
831091|1660|67|4|13|Call|3
6776362|729|56|3|14|Chat|1
4164484|443|34|5|18|Call|5
1475531|29|27|5|11|Call|3
9774425|222|23|4|42|Chat|4
2430266|753|25|3|14|Call|1
4030714|1335|8|2|6|Call|5
3946953|1233|58|5|13|In-Person|1
3669427|377|41|3|34|Email|3
3856779|1367|12|3|22|Email|4
1266291|326|8|5|41|Email|5
8225185|1024|86|3|50|In-Person|3
1977193|250|99|3|40|Email|3
9721097|1348|94|1|43|Call|4
284583|1767|34|4|2|In-Person|2
9726861|1552|44|1|10|Email|2
8912986|276|56|3|8|Chat|4
6773719|446|24|3|23|Email|5
2502226|418|57|3|4|Email|2
7452759|1265|68|1|19|Email|4
2517116|1149|84|5|23|In-Person|1
435499|347|59|4|10|Email|3
7974554|1163|58|3|48|Email|4
1297792|90|40|3|26|In-Person|5
89437|899|92|4|36|Chat|3
5466193|1402|29|5|20|Call|1
5530052|65|15|5|12|In-Person|2
587484|1152|99|4|33|Chat|5
7887388|561|34|3|35|Call|4
417702|1208|79|1|47|In-Person|5
5970620|627|41|2|34|Email|2
2343728|1272|39|4|7|In-Person|1
6008602|1768|84|2|25|Chat|5
6591196|857|90|3|7|Chat|1
755835|1328|69|1|42|Call|5
350444|1776|67|4|45|In-Person|2
3818139|1247|62|5|2|Chat|3
8086841|243|6|1|12|Call|3
7340232|292|75|1|45|Email|4
1913946|273|49|4|12|Chat|2
1289261|932|69|5|9|Chat|5
3406985|1536|16|4|36|In-Person|5
247617|228|97|3|29|Chat|3
6439036|1819|18|1|15|Call|3
1060701|1632|36|4|12|In-Person|5
7689365|1102|49|3|39|Email|3
4013319|769|47|3|38|Email|1
7789081|1451|36|3|38|Call|1
850957|635|72|3|23|Chat|5
1677843|1465|67|2|31|Chat|2
9443464|587|15|1|22|In-Person|5
529986|526|98|5|35|In-Person|1
1097953|15|7|3|42|In-Person|5
4610663|106|19|1|10|In-Person|3
4609174|303|26|4|24|Call|3
8426156|648|39|5|41|In-Person|5
1253584|1526|32|3|41|Chat|1
7703514|164|3|1|11|Call|4
7952631|118|12|4|9|In-Person|2
6675730|254|72|2|25|Call|5
2922484|530|15|3|3|Email|2
2043661|1103|95|5|25|Chat|5
9727733|662|90|5|3|Chat|2
2363182|97|2|1|14|Chat|4
9258014|813|86|2|7|In-Person|3
9264039|338|54|5|34|In-Person|5
9331861|1216|81|2|23|Chat|1
4946587|1248|62|2|6|Call|2
3282911|1448|51|2|38|Chat|4
6057827|1757|96|2|28|Call|3
6115118|569|33|1|21|Call|1
9032899|774|61|3|33|In-Person|3
2813536|180|87|4|39|Email|5
9046138|1435|46|5|19|Email|1
9109537|1397|46|3|42|Chat|3
3534009|996|58|2|19|Call|4
3632764|71|52|4|12|Chat|2
9313550|104|10|4|3|Email|5
886076|1021|92|2|46|Email|2
9717755|874|31|2|2|Chat|1
6564861|415|90|4|11|In-Person|1
8871495|850|26|2|9|Call|3
8464664|1486|72|5|46|Email|4
8748394|1561|20|5|14|Chat|4
8587973|567|89|4|20|In-Person|1
527703|355|34|3|34|Call|4
917602|1195|98|3|9|Email|3
8698177|1729|84|1|5|Chat|5
3754553|475|34|1|14|Chat|4
1242453|916|19|2|14|Email|1
6267025|822|12|3|14|In-Person|4
3116273|1576|98|2|30|In-Person|4
509078|269|15|3|29|Chat|5
3157810|1283|35|3|31|Call|2
5924619|146|92|4|3|Email|4
5886257|1718|9|3|4|In-Person|2
2002994|594|67|4|20|Chat|3
5568320|1759|98|2|31|Call|3
8155964|262|66|4|9|Call|4
9774694|1637|86|4|40|Call|4
3964246|367|41|4|32|Chat|1
1467922|934|9|3|41|Email|1
9849434|934|5|4|18|Call|1
2155908|949|34|4|31|In-Person|1
8126398|377|44|2|45|Call|4
6799898|417|97|5|30|In-Person|2
2923904|1231|57|3|38|Chat|5
9926325|1816|42|3|11|In-Person|1
4465086|361|42|4|2|Email|4
4065961|1635|45|1|44|Call|1
6284200|807|62|2|20|Chat|3
6594509|782|71|2|18|Chat|4
7914127|693|78|1|5|Email|1
9472980|886|60|2|11|Chat|5
4034244|172|57|5|10|Call|3
8830066|184|55|3|9|In-Person|4
8740074|324|99|4|13|In-Person|2
184|1524|33|5|18|Email|2
386173|472|60|3|28|In-Person|5
4861692|530|1|4|11|In-Person|5
7828573|1656|46|4|29|In-Person|1
3373438|1077|34|5|31|Call|3
5044304|586|99|3|9|Email|2
5315354|376|59|3|22|Chat|1
1543859|142|30|4|40|Call|5
825809|1749|19|5|10|In-Person|5
5476351|1023|45|4|7|Email|3
5930657|1164|78|4|5|Chat|1
1751132|1407|83|2|18|Email|5
933832|486|62|1|50|In-Person|1
9089094|1342|9|3|31|Email|1
8067133|941|41|3|14|Call|5
5167762|423|82|3|46|In-Person|3
5551313|1625|54|2|45|Email|5
3708689|631|37|5|4|Call|1
1779779|1453|95|4|44|Call|2
8104476|441|90|3|15|In-Person|2
2691801|141|38|2|9|In-Person|5
5035971|1683|48|2|42|Chat|3
9061972|473|36|1|5|In-Person|2
2572691|946|65|4|29|Email|1
1948787|1532|15|3|50|Email|2
2597296|1781|4|4|7|Email|5
5333102|406|2|1|4|Call|3
4712782|721|17|4|19|Email|4
8964027|671|19|1|2|Call|3
5511598|1432|82|5|50|In-Person|1
4088320|100|58|5|14|In-Person|1
2284957|1590|9|1|41|Email|1
3798550|1050|88|1|10|Call|5
335917|1655|5|5|43|Chat|1
5293502|1298|41|5|17|Email|1
9500505|138|93|3|40|Call|5
5126633|240|97|4|25|Chat|2
7661088|455|38|1|25|In-Person|5
7920250|1167|75|4|43|Call|5
3476064|1284|69|4|18|Email|3
5958063|863|86|2|38|Chat|4
158570|445|80|5|43|In-Person|1
9148907|712|4|2|38|Chat|2
9346913|1460|80|5|21|Call|3
6383042|1711|52|3|48|Email|4
2823678|948|74|3|40|Email|3
3638703|1327|19|5|3|In-Person|4
6499420|1151|28|1|17|Chat|5
8268828|135|69|2|30|In-Person|4
6403151|492|43|1|23|In-Person|4
831835|419|17|3|46|Chat|1
2011207|58|16|2|30|Chat|4
2047625|1159|29|2|21|Email|4
1028683|615|66|4|34|Chat|2
9481879|1602|24|3|7|In-Person|5
3056600|244|6|2|34|Call|1
8378832|1575|30|2|1|Call|3
1875368|1371|64|4|40|Call|1
6471881|949|73|2|19|Call|5
2480806|306|69|2|2|In-Person|2
7611586|931|1|1|41|Email|2
4750691|1180|36|5|49|Chat|4
9493841|1113|65|5|15|Email|2
7122639|1771|17|4|45|Email|3
3957613|825|45|4|4|Email|3
1078055|1537|38|4|39|Call|2
7138192|212|24|4|5|In-Person|2
2218872|1121|15|1|35|Email|2
957795|1298|66|5|34|Email|1
9905706|1411|61|3|30|Email|1
4055360|115|82|1|47|Call|5
9122252|1727|55|2|25|Call|2
3722964|239|81|3|36|Email|2
9329046|269|74|1|9|Call|1
7383778|1284|28|3|43|Call|2
4455074|469|39|3|16|In-Person|2
4699680|132|96|5|50|Email|5
4631585|829|48|5|26|In-Person|3
2136778|1592|43|5|44|Call|2
849808|539|71|2|41|Chat|5
2672490|919|32|4|30|In-Person|5
7803118|612|67|4|31|Email|4
5998648|1159|31|4|17|In-Person|4
9427508|1300|43|1|20|Chat|3
9149525|1029|77|1|22|Call|1
4429286|958|56|4|42|Chat|2
104930|94|3|5|26|Email|5
6795989|859|38|1|38|Email|2
2676354|627|88|4|24|Email|4
2489932|1207|11|5|27|In-Person|1
9904275|829|94|4|1|Chat|4
5723135|489|94|5|5|Email|3
291512|652|73|4|3|Call|5
6253358|1391|22|5|10|Email|5
101974|424|58|5|38|Chat|5
4075995|626|26|3|24|Email|3
6614634|790|54|4|3|Call|3
8201876|672|66|4|46|Chat|3
780588|1276|50|5|44|Email|1
9538072|934|13|5|19|Chat|3
1399862|1172|82|4|32|Chat|4
2656520|771|52|4|36|Email|2
4431746|1397|54|5|26|Email|4
1117296|1079|55|2|8|In-Person|5
9578528|523|40|3|20|Chat|3
1807733|511|26|2|10|Call|3
8118291|94|54|5|39|Email|4
8969743|1809|4|1|46|Chat|4
4610887|1324|81|1|33|Chat|1
3037404|457|96|5|17|In-Person|5
4804643|189|23|4|11|Call|3
1131135|991|65|5|21|Call|3
3450006|1007|71|3|39|Email|3
5379537|1814|23|5|20|In-Person|5
248346|1710|74|1|22|Call|1
8040417|4|3|4|5|Email|3
4505401|224|42|4|33|Chat|2
9647083|525|15|1|43|Email|1
8976759|793|24|4|33|In-Person|1
2200378|1578|38|1|32|In-Person|1
3800028|470|20|1|48|Chat|2
6517197|96|79|3|40|In-Person|3
8323071|1134|2|4|36|In-Person|5
4119393|976|69|4|12|Email|2
3746764|1794|94|1|23|In-Person|1
1939430|712|74|4|19|Call|3
6691552|1679|49|1|6|Chat|4
1715862|658|83|4|45|Email|3
7303581|905|63|1|12|In-Person|2
912595|584|44|4|45|In-Person|5
3396938|925|50|1|1|Chat|1
393277|617|3|3|23|Chat|1
7345177|468|1|3|37|Chat|2
1178188|1298|19|3|43|Call|2
2914010|941|93|1|29|Email|4
8204657|366|26|2|42|Email|1
3093329|750|79|1|49|In-Person|2
8071738|676|30|2|28|Chat|3
4806831|730|37|2|26|Call|1
5554888|725|60|3|15|Chat|3
4820165|1316|25|5|38|Call|2
1230293|601|89|1|8|Chat|5
4355626|1583|42|5|42|Call|1
9686312|673|96|5|38|Call|5
7303907|1330|90|5|9|Call|3
7808260|40|45|3|9|Chat|5
3976024|244|79|3|6|Chat|5
8559606|946|39|3|36|Chat|3
9000748|128|21|3|43|In-Person|3
6785217|811|42|3|34|Email|1
827479|1158|75|5|7|Call|3
6980066|388|76|3|7|In-Person|5
7943525|1691|76|5|11|Email|4
4396791|1295|79|2|4|Chat|4
9091313|1397|7|2|4|Chat|4
926637|1739|51|1|9|In-Person|5
9436028|1157|12|3|24|Chat|5
6440006|1017|12|5|39|Call|3
7873278|1269|67|3|38|Call|2
2444814|1325|67|3|4|In-Person|5
4295774|1636|75|2|38|In-Person|5
9522247|1141|50|3|12|Call|1
2008233|937|19|3|4|Chat|4
467951|1502|42|3|36|Chat|2
1702740|1165|33|2|18|In-Person|5
8266526|1186|90|3|2|In-Person|4
5559393|1159|56|1|40|Call|3
6840476|267|38|1|9|In-Person|3
9423604|1176|8|1|35|Call|4
6157244|1245|58|4|8|Chat|4
4527265|1691|1|5|25|Chat|3
6429116|776|37|2|14|Chat|2
2298973|558|91|4|23|Email|5
9084567|1809|49|1|40|In-Person|1
4252796|1067|61|5|4|Chat|4
2440231|41|29|3|47|Email|5
635395|1434|12|5|15|Email|4
6524323|663|47|2|18|In-Person|2
8732204|490|7|5|19|In-Person|4
4842998|870|100|1|44|In-Person|3
4942108|124|51|2|26|Chat|3
6888901|826|69|4|40|Call|1
8663324|254|26|5|4|In-Person|4
264945|1778|18|4|13|Chat|5
3452868|373|93|2|27|In-Person|1
3541223|389|70|2|18|Chat|2
1303472|813|15|3|32|Call|4
9381799|1288|94|3|2|Chat|2
5879969|402|49|5|31|Email|3
9690983|9|24|3|23|Call|4
5392220|643|61|2|2|Call|3
7656266|712|54|5|17|In-Person|1
8984847|1756|83|5|18|Chat|5
3428675|238|76|2|36|Email|1
2476606|1078|12|5|3|Chat|4
6221968|1658|93|2|39|Chat|2
4652405|394|70|4|16|Email|3
8111001|1208|99|3|6|In-Person|3
88640|1639|80|1|39|Email|5
7275555|914|40|1|19|Email|2
6877841|1398|35|2|49|In-Person|4
4629|443|91|2|37|Call|2
6378045|1208|51|4|19|Call|1
1511585|178|47|5|1|Call|2
4620009|1137|1|4|4|Chat|2
7311897|1417|71|2|31|Call|1
8984496|356|1|3|5|In-Person|3
6660048|102|23|1|45|Email|2
351690|1647|91|1|14|Email|2
8980957|1256|20|5|44|In-Person|1
2653922|1291|48|2|31|In-Person|1
6486040|1109|87|5|33|Call|3
9137035|1000|89|5|3|Chat|1
9217504|857|87|1|49|Chat|2
4326062|1130|75|3|18|Email|1
1725738|1651|64|5|3|In-Person|5
2647039|1350|35|5|31|In-Person|2
6470499|1707|60|3|4|In-Person|4
1402269|1548|43|3|43|In-Person|2
4383219|1465|21|4|40|Chat|2
7611145|1663|99|3|9|In-Person|5
5464607|145|31|5|41|Chat|2
4480599|827|100|3|41|Chat|4
8719352|104|34|3|23|Call|5
1127213|1671|53|3|6|Email|5
3227067|1438|74|1|35|Email|1
336589|1567|86|2|33|Email|5
2695222|1219|58|5|7|Call|3
9069046|1000|15|5|44|Call|5
159397|1110|65|2|35|In-Person|5
6510775|1008|7|4|6|Call|4
8084123|310|31|2|24|Chat|2
9279354|1138|75|3|4|Chat|5
4520939|1522|51|5|25|Chat|4
787593|1390|86|3|21|Chat|1
7646678|55|69|4|19|Chat|1
9406391|267|1|2|47|In-Person|2
7183483|777|32|3|12|Chat|3
9349153|1502|59|5|38|Email|3
5447838|163|69|3|42|Email|1
5695381|1104|83|4|46|Email|4
6270865|306|88|5|41|Email|5
2195111|1496|74|1|49|Email|2
3300728|1476|68|3|31|Chat|4
6624002|1164|2|2|37|Email|4
1169319|303|59|2|2|In-Person|2
7226756|1277|50|5|34|Email|3
9628000|1027|65|5|43|Chat|1
4597414|913|52|3|11|In-Person|2
6772430|16|86|5|31|Call|4
4743705|1284|93|5|42|Call|4
5875554|814|98|3|11|Chat|4
2371761|1029|5|2|16|In-Person|1
7865427|890|30|5|25|Chat|4
2977843|103|82|4|48|In-Person|4
2623320|646|3|5|39|Call|3
8632555|1296|12|4|3|Chat|1
4949688|147|7|3|6|In-Person|3
9813307|170|28|3|39|In-Person|4
2148005|1773|37|4|19|Email|4
5696491|770|47|4|41|Chat|2
