balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
8048705|85|24|3|460902.23|394661.47|427781.85
4125958|1572|93|2|517102.8|369634.2|443368.5
3404012|1108|16|2|860245.52|41255.21|450750.36
9751316|1228|51|3|157272.01|575198.47|366235.24
4520676|376|85|2|434532.68|99260.28|266896.48
2822940|389|93|1|600958.54|898753.68|749856.11
1268977|268|62|2|372628.9|24479.57|198554.24
7470815|1321|24|1|942891.34|274195.22|608543.28
4960260|1096|10|2|902699.11|267815.42|585257.27
1624512|540|60|2|71090.43|181374.31|126232.37
5874706|835|13|1|367626.36|772700.83|570163.59
5192019|781|21|3|344308.06|612379.94|478344.0
4594364|446|46|2|547028.73|993129.19|770078.96
5161860|478|55|3|898482.51|331660.77|615071.64
7158868|237|25|2|723858.56|703318.68|713588.62
2905822|1763|86|3|637566.64|475180.32|556373.48
9539456|314|22|2|852677.37|502272.11|677474.74
3011733|1034|16|1|414353.76|283914.37|349134.07
2653401|743|97|1|279325.95|538242.16|408784.06
3450920|371|58|2|160743.69|469940.6|315342.15
3743627|305|3|2|623083.26|837355.72|730219.49
8204766|904|5|1|64038.5|860077.15|462057.83
8313983|78|75|3|187430.86|249457.34|218444.1
6130951|1262|23|3|733823.67|860992.73|797408.2
2495489|804|81|3|368799.61|732494.52|550647.06
1572991|1331|23|3|57814.92|961789.13|509802.03
3179124|1194|11|3|668552.04|311818.87|490185.46
9120622|62|20|2|213152.35|861808.5|537480.43
3323469|271|32|3|694680.18|470192.93|582436.56
1202222|592|26|1|558679.85|161849.98|360264.91
7373991|391|85|2|395961.9|147627.37|271794.64
3438654|393|52|3|290306.34|643394.5|466850.42
1649025|1521|89|1|527833.05|502692.89|515262.97
2108166|1476|32|3|27182.29|182047.76|104615.03
5979139|1006|69|2|955235.72|155623.62|555429.67
6552924|1604|27|3|735504.75|547844.76|641674.76
6877565|639|42|1|367088.34|645029.34|506058.84
1630712|28|92|2|453122.05|792088.61|622605.33
6651195|1283|77|2|943821.13|995538.43|969679.78
5682186|113|8|3|814843.62|330866.93|572855.28
8281403|982|96|3|132733.51|21592.4|77162.96
4783092|1517|26|2|543761.01|866895.22|705328.11
4511283|1691|17|2|156947.27|104105.51|130526.39
4235073|66|64|2|909108.47|945248.09|927178.28
3520468|1539|7|1|437818.54|14311.05|226064.79
3969475|758|100|1|166710.63|235903.99|201307.31
7201927|1427|73|1|331125.31|209131.11|270128.21
8257632|1314|100|3|59702.87|31758.37|45730.62
2924297|1591|22|1|324693.97|788086.55|556390.26
99471|1639|77|2|506778.76|791361.03|649069.9
7146552|952|32|2|595679.87|422683.87|509181.87
4550940|12|36|1|361130.34|523286.59|442208.47
1811923|697|13|1|624154.48|715453.66|669804.07
8559405|87|63|3|482633.83|675379.7|579006.77
9853317|1368|68|2|567910.8|599684.2|583797.5
8376753|376|54|2|577281.72|267880.15|422580.93
9675721|1199|33|3|794508.59|346584.81|570546.7
9394666|1223|88|1|882011.81|985023.64|933517.73
2847408|158|39|3|966886.95|824563.65|895725.3
9873338|113|65|3|713014.66|306926.45|509970.56
661045|411|77|2|507030.22|529995.02|518512.62
8163761|849|61|2|250387.74|102252.08|176319.91
7885743|1072|36|2|737556.61|312370.35|524963.48
1143402|1268|72|3|531346.01|80871.23|306108.62
3214235|597|88|2|153876.6|793490.98|473683.79
6424625|865|47|3|537471.6|96772.88|317122.24
3595693|887|89|3|191122.29|940436.23|565779.26
7101754|1666|10|1|728805.87|190251.19|459528.53
7654192|1451|100|1|920738.96|558098.47|739418.71
8794297|330|60|2|398061.74|371677.6|384869.67
5458235|1554|28|3|545548.83|528575.76|537062.29
921549|1417|29|3|597943.99|257695.33|427819.66
4261350|1768|91|3|583548.4|900866.74|742207.57
1015513|1424|14|2|570849.75|885157.63|728003.69
4551629|252|80|1|892729.67|707876.38|800303.03
5883122|275|97|1|831462.61|762548.72|797005.67
8507640|1479|37|3|484357.69|363850.83|424104.26
7967901|722|91|1|563638.49|658194.13|610916.31
2470577|387|11|3|25405.39|379553.73|202479.56
4461621|700|89|1|768087.32|996560.09|882323.7
2993749|1610|16|1|439726.55|34422.41|237074.48
6327223|1759|23|1|205838.28|722888.17|464363.23
3965062|754|1|3|199203.04|455215.36|327209.2
3157848|1089|38|2|177449.69|472917.06|325183.38
4598339|1295|85|3|397779.57|818622.64|608201.1
3181943|263|24|1|21562.35|189506.13|105534.24
9919235|187|63|1|726776.14|876514.42|801645.28
9288192|141|62|3|661103.23|464068.72|562585.97
1219899|1329|49|2|763080.54|271327.15|517203.85
8023594|1482|48|3|274442.98|478829.97|376636.47
8333225|1700|12|1|989895.68|653888.78|821892.23
2890719|519|22|2|574029.03|758661.28|666345.16
711852|1649|94|1|449238.57|233922.27|341580.42
6280631|1197|9|1|769092.14|975969.71|872530.93
3522975|1033|67|3|129395.13|891537.08|510466.1
2917526|1784|76|3|78125.12|338592.41|208358.76
8345731|1771|34|2|386439.93|183819.98|285129.96
3756530|1801|92|2|42538.59|546082.26|294310.42
3184065|172|95|1|841062.31|487595.77|664329.04
3220737|1067|79|3|507395.67|212919.89|360157.78
5794304|856|40|2|754194.95|746996.72|750595.83
7317149|817|96|1|324310.45|544169.44|434239.94
3805012|1208|44|2|135484.45|700251.0|417867.72
3145319|1358|28|2|573414.48|876676.12|725045.3
7391137|1082|43|1|706949.69|410733.6|558841.65
7174415|288|73|3|207173.89|104857.13|156015.51
215134|495|31|2|390082.0|611849.4|500965.7
9875409|1054|54|3|437076.49|444883.02|440979.76
8496682|959|30|1|225232.04|521397.48|373314.76
6996182|410|57|3|591848.82|793943.41|692896.11
9191172|1438|81|1|104697.0|989221.02|546959.01
1219852|736|48|3|630052.73|798499.45|714276.09
1374736|1691|71|1|358102.35|987962.82|673032.58
7176097|1318|84|2|407401.7|874183.25|640792.47
2453576|424|65|2|263838.18|249528.08|256683.13
7535431|484|20|1|135901.02|760318.59|448109.8
8605817|1209|65|3|283717.87|288690.42|286204.15
1757279|61|20|2|507716.73|634677.96|571197.34
4990566|522|87|3|651262.46|286585.83|468924.15
2709284|990|5|2|272032.03|775091.85|523561.94
7463775|969|7|2|998727.8|860926.29|929827.05
3625777|666|25|1|214818.47|850429.24|532623.85
5092714|975|45|2|80439.03|718678.74|399558.89
7472761|986|93|3|114553.28|788581.45|451567.36
1993670|1161|1|1|601971.23|10443.51|306207.37
6636375|1323|99|2|210255.15|321010.55|265632.85
2860351|618|8|2|926605.94|451126.07|688866.01
281898|993|42|2|322507.98|905885.29|614196.64
9362714|26|2|2|38776.91|337993.68|188385.29
6154110|1786|5|3|14166.04|673399.71|343782.88
8241536|1196|69|1|67472.59|661822.25|364647.42
150800|751|83|2|537315.84|123803.66|330559.75
8222706|1275|9|1|401134.71|289872.16|345503.43
409120|1151|78|2|813420.44|777311.92|795366.18
1245957|815|54|3|866539.61|679804.39|773172.0
9492248|168|89|2|549809.5|775825.23|662817.36
8896664|813|8|1|281065.06|193554.31|237309.68
6739683|947|22|3|321612.61|287943.65|304778.13
869208|863|38|1|901108.93|656898.15|779003.54
3434870|56|49|2|381712.97|751871.22|566792.09
2527115|222|3|1|807637.32|846260.86|826949.09
6197389|1707|53|3|955433.62|617258.46|786346.04
1004380|529|57|2|482340.6|491862.04|487101.32
5308372|84|16|2|801234.46|924619.85|862927.16
6867633|893|66|2|60550.97|558989.23|309770.1
1026138|505|28|2|461804.52|482225.14|472014.83
2234871|1786|63|1|451268.48|409311.87|430290.17
3537550|1664|32|2|936401.96|894488.78|915445.37
2014782|92|74|2|192918.14|811066.32|501992.23
2298182|739|66|3|138570.66|859789.81|499180.24
2879040|1281|9|1|751253.47|491152.56|621203.02
1735630|1403|7|3|634893.71|301957.99|468425.85
6800336|836|89|1|899022.26|314000.52|606511.39
9072822|882|14|3|716681.59|652964.93|684823.26
8495612|597|82|1|513989.88|841830.62|677910.25
2002510|1677|79|2|34020.06|658933.01|346476.54
7785661|234|65|2|497669.83|407301.25|452485.54
1640165|753|18|1|95896.28|782561.11|439228.7
1334112|1335|26|2|741123.56|603245.9|672184.73
653335|420|87|2|825345.64|470506.95|647926.3
6711861|689|57|3|44947.15|712581.73|378764.44
421999|557|82|1|917498.18|448620.81|683059.49
2251735|762|62|2|272843.78|152119.99|212481.89
5172058|412|78|1|407750.02|412579.83|410164.93
6283278|1190|71|1|303982.61|25530.32|164756.46
132121|1794|81|3|875217.9|869312.47|872265.19
6111485|382|83|2|144939.78|123591.29|134265.54
5870786|1713|81|1|214486.93|791120.68|502803.81
5529952|995|66|3|339302.76|317059.5|328181.13
6679203|1139|11|2|618591.49|352667.06|485629.28
6092938|1147|7|2|446165.15|273009.0|359587.08
9115741|51|39|3|823488.66|292705.91|558097.29
3345706|1684|94|3|913769.94|1059.21|457414.57
6663557|1368|93|2|364262.42|471175.96|417719.19
4939763|983|65|2|52287.81|188363.05|120325.43
4826549|987|83|2|386128.41|364733.08|375430.74
8720194|990|55|2|92649.51|589083.33|340866.42
8499588|180|59|2|650764.31|790708.37|720736.34
5335640|875|87|2|307321.84|495157.15|401239.49
2817334|1539|42|3|837456.81|693948.19|765702.5
1459828|491|69|1|592385.0|233182.1|412783.55
605079|347|43|2|932344.6|502591.3|717467.95
8573248|1645|1|1|134531.99|637355.09|385943.54
3478756|1158|33|2|679541.51|864843.16|772192.33
6792054|297|17|1|973115.99|444361.08|708738.54
1876496|953|37|1|237990.29|173091.72|205541.01
9656841|1390|26|1|969359.69|174944.94|572152.31
7923566|89|2|2|964080.74|462063.91|713072.32
6193549|1093|26|1|687676.12|450674.37|569175.24
3866031|746|62|2|700335.66|255517.23|477926.45
2085275|883|34|2|277965.15|120887.08|199426.12
9936001|208|96|1|646057.02|391279.78|518668.4
7144303|1408|63|2|271636.78|868248.35|569942.56
870749|490|17|1|616085.1|312534.06|464309.58
9230085|576|80|3|654858.37|444384.88|549621.62
9344138|1055|61|1|837740.84|975100.05|906420.45
646258|229|94|2|441161.55|421839.37|431500.46
9514545|1346|90|2|815811.05|573869.28|694840.17
5838645|869|24|1|990670.17|915591.81|953130.99
6766674|153|51|1|543514.48|652290.51|597902.49
2211678|1394|83|1|13324.49|526763.26|270043.88
9231576|264|56|3|123338.78|26493.76|74916.27
273697|548|47|3|317513.02|785638.92|551575.97
7567816|1225|83|1|720778.18|600733.59|660755.89
9222807|1361|92|1|636786.28|471174.73|553980.51
7384616|173|34|1|93134.46|811518.31|452326.39
6291788|1048|31|2|998560.84|378610.45|688585.65
6853966|1668|72|1|74431.02|696863.02|385647.02
5651848|121|32|3|810819.03|328558.74|569688.89
6994663|583|89|1|172616.94|305014.78|238815.86
2927752|1087|7|1|549927.69|756830.99|653379.34
7990305|297|59|1|382750.51|133330.68|258040.6
648944|632|72|2|990699.51|666326.26|828512.89
7106021|1209|95|1|706846.28|446479.27|576662.78
6989218|1300|5|2|732609.19|543310.29|637959.74
9038005|23|66|3|810157.28|417105.3|613631.29
9716383|1050|35|3|311212.69|496946.68|404079.68
1491594|190|77|2|498742.91|438941.16|468842.03
9178631|255|46|2|3069.25|559770.72|281419.98
2629144|1822|100|1|234475.42|897077.76|565776.59
7903673|627|54|2|318141.3|295835.79|306988.54
2441420|602|41|2|919395.64|231018.04|575206.84
5436207|1074|60|3|512199.83|946564.11|729381.97
7056568|758|28|3|868756.2|690434.24|779595.22
6009383|1645|46|1|378042.03|13776.29|195909.16
1233899|1093|98|2|69018.54|965488.1|517253.32
1403563|1085|70|3|710418.38|925499.38|817958.88
8575260|967|54|2|841075.93|872726.68|856901.31
2255891|282|12|2|87212.28|766625.54|426918.91
3755413|848|21|3|130235.34|990447.1|560341.22
7940211|1419|90|2|95789.72|830449.74|463119.73
6982664|12|88|2|738529.39|689562.02|714045.71
3723659|816|81|3|643042.6|526571.26|584806.93
9385711|986|83|3|632044.3|242985.15|437514.73
5281233|722|18|2|861420.0|262581.91|562000.95
3595232|101|61|2|302469.19|727956.75|515212.97
6353634|431|27|3|809943.68|371403.67|590673.68
4950796|1681|96|1|518586.99|475250.05|496918.52
2141790|1678|57|3|987107.6|890496.89|938802.24
6112241|1341|64|3|159772.04|390103.58|274937.81
7191232|321|81|2|43620.93|971805.47|507713.2
7807088|826|19|2|55911.63|694786.6|375349.11
9160472|1324|98|2|629722.84|650004.22|639863.53
7622150|1661|8|1|30981.07|558140.92|294560.99
