investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
691602|253|4|59|10|2|326922.75|2465.36
5499529|1340|4|9|41|1|582849.52|1153.27
6615910|1040|4|62|9|2|172312.23|12831.48
53199|1123|3|21|22|3|786033.45|7906.79
4773341|770|5|32|20|2|155496.71|1820.82
2316751|489|1|44|37|2|430602.28|1303.08
4772523|80|2|36|17|3|242044.51|14490.76
3023195|1659|3|82|9|3|306626.51|11598.96
1048861|1025|3|91|31|2|479680.3|-3238.43
2775480|821|5|32|48|2|668588.07|3429.51
1119713|1254|4|93|20|1|68801.19|3361.83
9385845|962|5|85|7|2|868565.44|10526.29
2869712|283|5|84|49|1|454887.92|-4197.89
2516305|595|4|69|5|1|688699.96|-2383.3
7312102|1403|2|46|37|3|225393.76|2645.85
5318425|1559|4|12|27|2|679512.68|3764.61
4253863|475|2|44|42|1|959899.63|1991.52
4037195|1374|1|51|43|1|578155.71|9163.02
7236588|495|5|4|7|3|832492.61|1160.62
3234442|783|4|18|27|3|152535.53|12967.11
5877764|285|4|97|20|1|343535.63|4415.63
5210678|1579|4|61|5|1|548999.39|2006.98
4933330|470|4|92|35|3|468723.97|14171.46
1091338|706|3|70|9|2|288352.38|12703.64
1661009|203|3|27|49|1|593485.35|6774.22
2824523|1425|5|60|50|2|437472.48|14358.03
5104439|729|1|59|30|3|395808.74|11568.22
5593597|282|4|34|2|1|703438.61|7549.98
9429511|997|3|93|30|1|588015.65|4305.98
4508079|131|2|11|24|3|987144.15|12062.33
732450|1426|3|40|44|3|218055.63|5074.53
9219972|407|1|5|22|2|597484.21|-3919.94
8118793|780|4|98|24|3|342938.4|12637.06
1988579|1395|4|81|30|1|93495.11|4238.84
1269905|758|5|20|9|1|260416.86|5018.67
7583417|858|4|4|29|1|672894.24|6604.06
7028626|1130|4|86|5|2|947321.83|5057.71
6044126|1035|2|90|50|2|243639.39|8639.37
9462194|1737|1|67|20|3|348435.09|12047.07
7098986|317|1|53|22|3|462871.91|11736.08
4363899|1643|3|15|9|2|765655.09|440.63
7092943|305|5|68|41|1|42526.81|-4681.87
5503085|917|5|53|47|1|55923.08|3645.04
3732364|796|1|5|20|2|959995.11|13682.46
5734569|919|2|79|10|3|907533.12|11751.1
6252402|406|1|79|6|1|726201.15|-1461.44
6390328|1288|3|50|19|2|535424.01|5238.73
2820899|1802|2|47|30|2|673649.46|11109.97
6378615|1275|3|68|18|2|472657.73|7397.37
5700064|15|1|9|16|1|914828.88|10085.42
6216407|494|2|89|48|2|833426.83|10670.38
5639378|1339|1|59|11|2|297235.7|-3230.88
8677718|1439|2|71|12|1|918136.04|687.7
1225561|778|3|98|9|2|310050.04|5835.16
9987687|426|5|85|24|2|102906.03|8034.08
2807275|1450|4|17|10|3|365119.2|7095.69
9706362|145|3|42|22|3|42455.35|2343.28
3967947|453|1|24|38|1|241438.35|8728.57
3540168|1564|2|45|17|2|227988.69|7941.7
5192221|835|2|57|21|3|567831.96|14937.72
5285838|1071|4|24|38|1|320771.37|13572.39
6133883|169|2|11|28|3|966810.31|-1911.09
7932668|1242|2|64|42|1|808786.18|5590.33
9297131|405|3|19|1|3|608803.6|1253.32
4690850|1291|5|67|18|3|693165.12|3944.32
2723974|461|1|7|17|2|845323.51|1737.66
7142341|1248|3|75|11|2|669901.18|6825.2
7023361|1812|4|2|29|2|738083.25|5854.96
5162888|1311|5|66|9|1|215025.83|4638.01
7798428|361|5|85|33|1|925520.22|-763.16
3331936|66|2|96|4|1|204478.24|-465.37
6708860|406|3|55|28|3|316161.68|875.1
8006324|757|3|90|10|3|641803.55|7719.21
8810477|1424|3|82|35|1|416226.14|12103.04
1181500|1514|3|59|36|1|630817.13|3075.93
5279111|1372|2|56|44|1|287962.52|653.7
8455142|1546|4|92|47|2|590365.34|-1980.59
4055480|294|1|53|35|3|551117.35|-2211.69
9453760|1090|1|16|49|2|867319.47|6216.4
2064503|1105|2|3|31|2|744342.88|3723.15
1943515|1778|4|77|20|2|801834.81|13243.76
6834|622|2|71|19|3|578925.66|14115.71
1698673|1712|2|36|48|2|566977.11|-1246.34
