loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
7519254|200|50|98|3|3|338655.85|Rejected
9259876|1719|47|84|9|2|384919.11|Pending
513433|178|19|27|24|2|16708.35|Rejected
8768335|1511|10|1|9|1|207847.58|Rejected
7191219|665|3|16|47|1|137628.56|Approved
2084614|681|32|11|50|3|12252.59|Rejected
9912915|313|35|48|44|2|179160.0|Pending
2993792|91|11|73|42|3|305347.6|Rejected
3195252|70|17|4|39|2|44364.67|Pending
7169119|763|36|61|42|3|108223.1|Rejected
2869889|313|10|66|48|2|162326.13|Approved
4664945|933|3|18|43|2|64679.16|Approved
2324940|1487|40|12|46|2|141005.52|Pending
4631318|557|45|97|46|3|231062.38|Pending
8875040|1256|29|93|18|2|358578.99|Rejected
9147108|166|19|71|1|1|262367.51|Pending
1493948|496|30|46|16|1|365828.66|Pending
1351111|529|6|81|7|2|247846.6|Pending
7146782|614|18|8|11|3|438269.97|Approved
4145453|1577|33|45|38|1|407572.58|Approved
9268904|39|26|84|33|1|241623.02|Pending
1591252|790|25|20|50|2|337871.37|Rejected
6666543|1412|37|14|35|1|130501.92|Rejected
6095635|1038|47|94|13|3|93741.78|Approved
9738177|414|10|94|5|2|46833.06|Pending
872179|678|11|83|14|2|378302.86|Rejected
7878423|1809|16|27|34|2|131256.84|Pending
3900513|1391|16|20|38|1|352073.2|Approved
8587692|165|18|35|30|1|193467.34|Rejected
3421575|188|16|82|43|2|427035.93|Approved
4098940|659|24|72|44|2|338531.1|Approved
1908634|203|20|86|21|3|218778.74|Approved
8228143|523|41|49|20|2|302807.29|Rejected
9460792|1483|48|9|49|2|190770.34|Approved
1507015|1079|8|46|18|2|52551.45|Approved
5376596|279|33|26|47|3|239652.57|Approved
1335249|746|5|10|44|2|321592.58|Pending
8957218|1068|4|92|33|2|360821.43|Rejected
1997883|1580|11|4|34|1|407093.8|Rejected
6401001|62|32|56|39|2|67289.93|Rejected
6447493|572|30|39|30|2|359256.46|Rejected
249580|1569|21|51|2|2|253839.61|Pending
7738457|1710|46|24|4|2|376744.44|Approved
9511295|625|20|79|35|1|91888.05|Rejected
269262|729|26|13|14|2|328792.27|Approved
7929238|847|15|81|36|2|312524.9|Rejected
387243|1553|1|60|41|1|261963.93|Approved
7459336|524|17|18|44|3|25420.18|Approved
4198493|1254|3|58|49|2|250377.98|Approved
5263444|523|27|70|11|3|441036.63|Approved
9336642|1308|36|56|7|1|268288.27|Approved
528818|63|4|100|13|3|57972.32|Approved
1269710|341|42|14|9|2|299920.57|Rejected
4393428|1269|31|61|23|1|365489.02|Approved
8534722|1485|19|43|32|3|181701.25|Rejected
8831517|36|41|74|14|1|499131.91|Approved
7305483|493|6|79|10|1|169309.41|Rejected
788427|312|18|79|49|1|372685.42|Pending
8804349|865|31|4|30|1|264000.56|Rejected
6482646|572|10|35|22|1|268239.11|Approved
2940158|903|32|84|15|1|229546.92|Approved
8111268|615|2|10|32|2|402748.2|Pending
4917862|296|45|70|19|1|469594.55|Approved
8223294|1674|42|11|13|3|245727.8|Pending
4892227|1588|36|86|12|1|118585.14|Rejected
3585683|850|6|83|10|1|23580.4|Rejected
4739512|1369|38|74|12|1|120358.51|Rejected
6663196|523|31|60|44|1|277565.59|Rejected
6865616|1509|40|98|42|1|141486.53|Rejected
8067791|1763|20|15|45|3|442524.78|Pending
2241917|1130|22|13|18|3|187756.43|Pending
4048814|742|5|69|23|1|131547.34|Pending
250519|300|28|70|36|3|298442.43|Approved
7550507|512|27|33|10|1|77436.7|Rejected
8182463|574|11|11|47|1|16040.74|Approved
7553972|1128|24|48|26|3|95753.72|Rejected
1498396|841|25|19|34|2|162788.57|Approved
8850234|669|41|16|45|2|61824.85|Rejected
5367718|1783|46|9|29|3|64877.42|Approved
3764099|1109|4|95|48|2|128209.97|Rejected
8769606|94|22|47|14|2|24783.66|Approved
7485084|274|7|26|13|2|484132.44|Rejected
7622868|744|20|32|24|3|300245.74|Approved
3178802|260|5|90|7|3|446135.52|Approved
2809885|1652|9|39|39|3|196382.22|Pending
7311571|989|37|73|21|2|353713.06|Approved
9772136|678|43|76|44|2|422939.55|Approved
4499407|1718|32|54|33|1|330633.65|Pending
2296213|1033|43|4|15|3|240178.5|Pending
7881588|378|15|29|40|3|282155.95|Rejected
6789771|1209|27|75|4|3|240977.93|Pending
3415087|690|32|13|38|2|153935.03|Rejected
3496431|557|13|99|42|2|94069.69|Rejected
122214|729|48|91|6|2|345310.18|Pending
5767373|1287|11|46|45|1|153668.93|Rejected
8285115|95|4|25|17|3|154100.98|Pending
416716|1643|13|52|41|3|456724.84|Pending
8119138|1680|26|11|26|2|92470.36|Rejected
2382285|583|17|78|23|3|155571.12|Approved
1405872|996|47|98|45|1|465514.31|Approved
299507|1660|36|31|39|2|45707.91|Pending
5092078|71|50|30|26|3|64229.5|Approved
6952880|1141|7|66|33|1|260599.74|Approved
2139125|72|34|16|18|3|498557.47|Approved
4247612|542|38|47|47|3|143387.67|Pending
2166566|925|19|52|41|3|298388.1|Pending
4950787|1338|23|10|47|3|104772.49|Approved
9742832|19|37|63|24|2|441432.1|Pending
5655029|1243|11|92|43|2|197059.13|Rejected
275916|1314|40|30|15|3|95034.72|Rejected
6888480|1509|19|19|45|2|165863.91|Rejected
2348325|1703|49|83|21|1|392730.4|Rejected
266932|353|46|26|2|2|256417.47|Approved
8419906|997|29|62|45|1|95325.15|Pending
1788562|178|29|82|47|3|416377.02|Approved
4055202|124|38|29|31|2|292334.35|Pending
213864|81|27|74|10|3|158957.17|Approved
7166133|57|39|53|13|1|185261.47|Approved
7695581|383|48|85|19|3|244290.14|Approved
8439785|511|34|93|39|2|431396.01|Rejected
3410821|276|40|86|42|3|341812.83|Pending
808543|443|5|69|36|1|128644.38|Approved
5090446|191|28|12|19|1|331516.4|Rejected
3558174|1630|42|88|3|2|79154.16|Pending
718202|315|32|3|50|1|397442.51|Pending
3580494|928|24|32|45|3|354514.36|Approved
1711994|1254|12|1|34|1|86244.7|Rejected
9796467|1143|7|85|42|2|421140.88|Rejected
7382713|1741|25|38|49|1|264512.22|Pending
5154770|1375|44|95|9|2|206323.66|Approved
7944110|1194|26|73|38|3|251230.94|Rejected
2646611|398|22|15|46|3|133050.94|Approved
1315245|422|21|19|41|2|199667.13|Approved
8658665|853|36|74|44|1|91201.21|Approved
5429875|173|31|65|39|2|340523.35|Approved
5763664|814|45|50|34|2|449556.76|Pending
2324659|39|20|36|14|3|264906.11|Approved
9357015|468|45|38|29|3|271998.7|Pending
8344866|112|7|63|31|1|291745.72|Rejected
4859708|1692|37|93|17|3|459498.53|Rejected
6910430|1132|36|27|40|3|450491.68|Pending
3474265|428|38|28|31|3|206266.23|Pending
7708610|747|13|97|10|2|495034.58|Rejected
9588257|1391|40|93|37|2|307467.51|Rejected
2849054|1371|27|21|19|3|158053.31|Rejected
777613|1219|10|28|26|2|199580.61|Rejected
6362866|1532|13|93|5|2|305867.57|Rejected
3208317|1090|27|3|34|1|123379.71|Pending
5211111|493|37|48|19|2|272317.52|Pending
8098989|780|4|94|30|1|72346.39|Approved
1832612|136|44|4|21|1|318746.7|Pending
7456062|1196|13|61|45|1|393249.07|Pending
202056|830|6|30|21|2|168150.3|Approved
8303491|697|1|70|13|3|169241.81|Pending
788270|1432|32|65|48|1|322769.14|Rejected
6349854|60|7|63|39|3|125298.95|Pending
5245406|673|36|38|38|2|300331.27|Pending
4707154|1711|17|1|44|3|486923.8|Rejected
5574494|205|2|46|46|1|36816.6|Approved
7526383|1263|29|93|16|2|415362.48|Approved
3097362|734|20|53|38|3|482777.91|Pending
4764660|1812|31|58|33|3|336012.77|Approved
253080|1408|28|81|24|2|176275.48|Approved
33917|99|15|95|1|1|438145.89|Approved
9668467|717|5|2|50|3|338203.82|Pending
7871111|958|34|92|38|3|429193.86|Approved
2489698|1319|21|20|15|3|366993.46|Approved
4244263|1804|4|19|30|3|170702.33|Pending
7722290|194|21|74|22|3|413689.25|Pending
9628558|1775|38|88|39|1|21752.89|Rejected
6719194|1333|13|17|42|3|50153.61|Rejected
6861428|867|49|78|48|3|390922.87|Pending
8245339|1272|32|13|42|3|378215.17|Pending
2129357|724|36|64|38|3|412804.92|Rejected
9075091|233|10|40|2|1|232561.63|Pending
8122480|592|34|58|43|3|397199.79|Approved
5435540|398|8|54|17|1|466290.53|Rejected
7718388|1201|13|50|1|3|337480.63|Pending
6410364|1041|42|34|2|1|167611.62|Rejected
4957314|822|20|87|10|2|151577.77|Approved
8934410|1078|17|86|50|3|401956.28|Rejected
3568102|505|14|34|47|1|463785.69|Rejected
6184517|1396|11|99|40|2|423554.29|Approved
5088740|869|50|67|37|2|7311.22|Rejected
88718|220|5|16|28|3|306016.95|Pending
4825917|711|15|92|25|2|149837.58|Approved
5361291|1825|19|37|48|2|457133.33|Pending
9006340|268|36|97|14|1|178517.32|Rejected
9853575|355|41|19|20|2|100566.8|Rejected
8082461|19|2|16|34|2|174273.89|Rejected
5576296|234|47|15|34|3|68438.31|Pending
7190474|772|48|98|4|3|215527.06|Rejected
1967004|1445|13|65|24|2|468645.09|Approved
2289095|1666|26|25|39|1|150067.91|Rejected
8873423|520|27|53|31|1|46858.09|Pending
986688|84|12|8|6|1|377891.93|Approved
7815541|1386|48|17|1|1|117798.64|Rejected
8008410|1604|50|41|32|1|349522.58|Rejected
8688056|145|7|60|19|1|224563.43|Approved
9545563|1700|25|18|43|1|157164.38|Pending
9227753|1675|11|75|12|2|484217.24|Pending
1104987|1309|10|69|9|1|316336.03|Rejected
7570137|595|29|25|5|2|151308.44|Rejected
8167998|1657|47|31|20|3|174903.68|Pending
4229408|319|41|85|41|2|316280.04|Approved
2643299|1217|39|6|17|2|402625.57|Rejected
6411812|1806|32|24|46|1|498004.35|Pending
7348427|718|14|32|36|3|497974.14|Rejected
4590917|632|23|42|1|3|389115.98|Approved
3981647|253|5|27|17|1|258598.25|Rejected
369166|1797|43|90|38|3|471999.57|Approved
5200918|1084|5|25|14|3|252381.19|Pending
808634|1676|11|11|28|1|195130.44|Approved
577655|1528|36|71|43|3|123464.65|Approved
9068337|7|49|47|50|1|85563.73|Approved
4154069|167|27|29|27|3|195599.65|Approved
8870967|419|47|51|45|1|372992.19|Rejected
7354073|758|48|76|46|3|49998.37|Approved
2367186|726|17|17|50|3|108684.61|Approved
1304603|856|4|46|28|2|28099.76|Rejected
786995|293|50|3|4|3|44118.91|Rejected
4609460|742|27|92|1|2|189468.92|Pending
1856022|173|21|86|7|3|343767.08|Rejected
7129942|545|12|30|40|3|96053.12|Pending
418623|917|7|47|36|3|130325.41|Pending
2464122|1026|46|40|42|1|320744.56|Rejected
5580511|65|33|47|22|3|257648.23|Pending
5278494|87|2|30|49|3|107930.3|Rejected
5991275|208|31|93|5|2|294964.27|Rejected
7715746|1066|20|40|23|3|390003.58|Pending
4068382|584|24|38|2|3|214088.96|Pending
6739408|1451|39|54|1|1|474942.57|Rejected
4731808|444|45|43|15|1|210982.7|Pending
7517090|360|37|57|21|3|159009.09|Approved
2459005|467|26|55|38|3|266027.6|Pending
718477|1111|37|64|9|1|456588.12|Approved
8336481|1634|40|18|17|1|305250.37|Pending
4272415|725|31|25|34|1|305663.08|Pending
9423893|382|40|32|39|2|44141.33|Approved
4913946|1056|3|41|28|1|205339.56|Rejected
7364319|940|13|27|29|3|495035.2|Approved
6173437|1144|14|75|4|1|341481.28|Rejected
6861213|309|24|25|37|2|54152.28|Approved
1215133|1131|17|18|38|2|265920.46|Pending
4887817|897|37|49|33|2|221213.26|Approved
7317718|1056|2|74|26|1|177668.77|Rejected
8841187|96|5|98|24|2|290982.48|Approved
1908398|1674|8|72|41|3|396343.34|Pending
1911513|1425|29|34|21|2|168765.24|Pending
6831234|1533|50|100|32|2|101448.16|Approved
7025507|1222|20|22|28|2|49075.12|Rejected
8485054|1743|40|16|50|3|129927.8|Rejected
9809646|1235|1|70|33|3|68696.02|Approved
2011007|627|44|31|29|2|383760.45|Approved
1902133|918|45|54|37|1|353146.79|Rejected
3766897|1074|44|28|48|2|75851.1|Rejected
4174604|1224|14|40|37|2|406568.35|Rejected
427385|212|31|95|47|3|181953.15|Pending
918903|652|15|100|16|3|363756.4|Rejected
7144133|209|17|74|13|3|176798.11|Rejected
797521|575|44|95|11|2|7669.5|Pending
2895429|1353|16|4|36|2|497972.74|Rejected
8756495|819|40|72|7|3|15999.25|Approved
9806995|734|4|98|24|2|472962.13|Rejected
7097600|150|48|4|48|3|6242.54|Rejected
9804125|1359|32|78|49|2|472976.46|Pending
3052572|588|27|65|34|1|495707.21|Rejected
5249280|1683|44|49|36|2|424538.7|Approved
3134650|158|15|12|40|2|403327.6|Rejected
9174551|1014|48|38|18|2|245660.5|Approved
2559561|865|16|86|21|2|26815.77|Rejected
2278296|239|4|3|25|3|52777.45|Approved
3122163|748|12|76|22|1|16548.64|Rejected
6728538|164|27|24|15|2|138502.84|Rejected
3248935|1504|33|5|18|3|443140.09|Pending
2479074|1224|26|1|20|2|162892.85|Pending
2245536|1418|32|52|1|3|298601.61|Pending
5795559|970|27|50|28|2|208535.15|Approved
7693216|12|50|64|45|3|246433.28|Approved
3430555|1643|42|16|7|2|439783.84|Pending
2500489|1476|16|96|41|3|84660.85|Approved
9791084|369|17|2|47|2|178275.87|Pending
1554587|373|43|11|7|3|432568.68|Pending
8020798|998|40|61|42|1|331364.69|Approved
2696583|1011|36|35|21|1|342537.3|Rejected
1310852|1087|38|90|17|1|317456.22|Pending
4527556|1061|18|88|25|2|81723.54|Approved
5779062|855|11|8|17|3|136429.63|Approved
557339|1105|42|59|21|1|78175.31|Pending
4992041|1527|25|38|9|3|373800.06|Pending
3206500|976|16|19|18|3|238134.59|Rejected
9099842|18|12|82|49|2|365847.92|Pending
9576641|164|6|75|5|1|110340.68|Rejected
435159|156|2|46|49|3|187442.31|Rejected
8347154|1387|32|98|48|1|164026.04|Rejected
8679772|104|50|43|36|2|368186.01|Rejected
3820343|538|1|12|11|1|464983.13|Rejected
2539026|1161|12|19|33|3|233445.64|Rejected
2377062|113|26|69|49|1|304097.14|Approved
8701893|164|46|33|37|1|266389.51|Approved
9226564|657|4|78|23|1|489121.43|Approved
6526427|680|49|59|34|1|138721.36|Approved
4245329|1182|6|37|16|2|39294.49|Pending
8849783|1730|2|33|41|2|194505.78|Approved
9325429|1166|6|3|10|3|42504.92|Pending
4461768|1410|40|65|29|1|489967.45|Pending
571622|128|19|93|17|1|417250.54|Pending
119681|545|26|52|26|1|18930.9|Rejected
2715974|1734|34|37|26|1|366741.13|Rejected
9999454|1191|16|1|24|1|369324.99|Rejected
8440648|935|41|76|16|1|73506.55|Rejected
4478406|1534|31|87|43|3|331376.14|Pending
5982478|1691|39|90|44|1|312996.45|Approved
8286457|1633|25|95|47|3|402698.01|Pending
6783445|1315|41|65|47|3|42351.76|Approved
5195998|1600|2|34|41|2|419824.21|Approved
4638957|725|50|21|16|3|419481.91|Rejected
1162816|1823|5|81|8|3|365315.66|Pending
3512724|480|6|25|4|3|321993.43|Rejected
7591853|733|37|73|49|1|261465.8|Rejected
2718807|1112|18|59|8|1|139815.4|Approved
4955440|20|36|38|41|2|220979.43|Rejected
1694048|1118|40|48|49|2|81523.68|Pending
6206527|637|7|13|39|3|104058.88|Pending
5253491|1181|16|81|13|2|283352.98|Rejected
4068394|646|39|9|14|1|186992.87|Pending
3953633|1296|8|12|49|1|23085.17|Pending
7016011|1810|6|8|40|3|216216.8|Pending
307486|936|5|26|12|2|486549.43|Approved
9172927|668|45|30|3|1|417339.15|Approved
4214486|1376|33|49|17|1|366800.82|Rejected
5184499|813|36|56|11|3|187456.56|Pending
3888763|1043|26|88|6|3|261357.4|Rejected
6172157|1726|32|15|11|1|65758.79|Pending
6961261|1190|21|59|45|2|22875.16|Approved
5176350|1130|40|50|20|2|296872.57|Rejected
7915882|551|3|68|41|2|116206.54|Approved
8696014|170|22|16|14|1|14059.47|Rejected
4677779|778|29|48|18|3|477401.87|Rejected
9904531|90|43|45|23|3|222046.25|Rejected
1792542|1401|38|27|15|2|9031.03|Approved
6895826|256|39|46|12|2|56070.1|Rejected
5733637|1386|32|98|19|2|23129.86|Rejected
580275|1045|24|15|40|2|222834.72|Pending
1782718|1314|32|100|19|3|464819.65|Approved
2111619|230|39|96|41|3|192529.27|Approved
245897|919|47|5|45|2|389831.1|Rejected
1911711|953|5|39|18|1|394009.5|Pending
582336|1152|2|25|10|2|49577.58|Pending
