transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
7763899|859|2|13|2|38|2|9670.1|Completed
2311643|1425|2|48|2|49|2|5557.37|Pending
6907457|833|1|48|5|41|1|8468.28|Failed
784106|1161|4|44|3|23|2|7692.22|Completed
7468728|1329|4|84|2|28|1|57.54|Completed
6438674|173|3|27|1|33|3|1117.91|Failed
6705617|1394|4|11|1|18|3|5635.78|Completed
4972378|1493|1|12|5|9|1|9159.73|Completed
442730|1648|1|35|5|49|2|3196.09|Pending
4637313|256|1|9|1|11|3|2488.45|Pending
4637580|1146|2|2|4|21|1|110.64|Pending
2714278|496|4|2|1|39|1|38.81|Completed
7756259|529|1|68|1|9|3|3143.59|Completed
7799188|618|2|13|4|31|3|9663.39|Completed
3720552|484|4|33|5|8|2|79.36|Pending
1829958|1728|2|1|1|15|2|430.76|Completed
3088479|65|4|96|3|39|2|7522.29|Failed
8628522|1018|4|25|3|30|2|5117.64|Pending
9535659|1346|1|97|4|41|3|993.43|Pending
8016415|1658|1|37|2|44|1|721.09|Pending
790909|579|2|54|2|16|2|9033.06|Failed
8159600|1625|2|79|4|13|2|4165.28|Completed
4388023|205|2|19|4|2|1|7939.01|Completed
6328576|522|2|12|2|3|3|5012.09|Pending
1202385|1594|3|65|4|7|2|2721.4|Failed
9137000|1491|1|32|3|7|3|6275.73|Completed
3230419|1655|4|97|4|49|3|4866.88|Failed
119607|1134|3|6|2|4|2|5316.01|Completed
6647813|1206|2|73|3|23|3|1041.18|Completed
7600541|1737|2|38|5|10|1|183.78|Pending
6645198|580|3|82|3|30|3|8806.64|Completed
8890834|1390|3|70|3|29|2|9050.68|Failed
3559062|338|4|15|1|16|3|9532.69|Pending
4697907|17|2|11|5|20|1|6522.04|Failed
8569460|1423|3|37|1|18|3|8870.58|Completed
7497976|1397|4|77|4|28|2|1063.38|Failed
7968587|527|1|14|4|27|2|6494.21|Completed
9828661|777|3|49|3|24|2|9205.42|Pending
8598001|1733|1|54|3|38|2|2232.71|Pending
676309|1629|1|15|2|6|3|376.49|Completed
8157785|114|2|5|2|6|2|7164.87|Pending
1221784|1192|4|68|4|9|1|9695.69|Pending
3270954|425|4|1|2|24|3|676.97|Failed
8137806|1022|2|50|5|39|2|3973.54|Failed
7118205|409|1|57|2|44|1|9224.75|Completed
3426244|1434|3|89|1|33|1|4286.12|Pending
6285900|908|3|79|2|3|1|3322.52|Pending
1782953|7|3|56|4|2|3|2745.72|Pending
5850007|49|2|39|4|3|2|4364.71|Pending
2669512|552|2|70|4|46|3|7095.93|Completed
1878816|786|2|26|5|9|2|3525.87|Failed
9647575|1417|2|64|5|33|3|5482.04|Failed
8031617|228|4|89|5|48|1|7853.32|Completed
5394155|1190|2|10|2|23|2|4356.76|Pending
4764915|1306|4|77|5|28|2|6535.52|Completed
895651|1613|4|4|1|11|3|4197.74|Pending
5034377|1376|1|63|3|7|2|6113.37|Failed
3701488|1616|3|80|4|8|2|1777.97|Completed
525082|1040|2|7|3|46|1|2512.79|Pending
9382283|868|3|64|3|35|1|8836.52|Pending
8847232|1024|2|63|1|21|3|7193.9|Pending
6649518|405|4|8|5|34|1|3042.69|Failed
4208682|694|4|35|3|1|2|4683.57|Completed
5404976|764|1|20|3|44|1|8232.19|Pending
8569434|1505|1|9|1|33|1|4960.77|Completed
8082764|896|4|30|3|19|2|4027.34|Completed
7140954|1063|3|95|5|3|3|542.68|Failed
9845266|910|4|78|5|35|1|3380.6|Completed
857918|329|1|44|4|45|3|9965.14|Pending
2287442|802|3|17|3|9|1|3094.59|Failed
3858514|1077|4|90|2|48|3|1038.55|Failed
6877132|820|2|92|2|35|3|5574.14|Pending
1001582|365|2|72|5|33|3|734.95|Pending
4928297|1588|1|90|5|36|2|7348.79|Failed
435284|1655|2|52|4|38|1|2540.77|Failed
9108013|997|2|77|5|26|2|9432.77|Completed
1992092|1594|4|36|4|48|1|7105.69|Failed
4852809|457|1|30|2|16|2|9646.78|Completed
2714767|483|3|5|5|13|3|5947.95|Pending
8598244|255|2|25|4|7|2|9142.78|Completed
6794464|201|1|63|1|22|3|2178.36|Pending
6698779|151|1|1|1|38|1|5834.88|Pending
7779770|715|1|55|4|47|1|3676.29|Pending
6414178|1484|3|35|1|20|2|8341.75|Failed
1188862|1218|2|37|1|4|2|6348.6|Pending
8742030|879|2|3|5|37|3|7501.41|Pending
9002563|1522|1|22|1|49|2|8591.13|Completed
4380239|287|2|62|3|39|1|7323.28|Pending
