loan_id|loan_type|loan_amount|interest_rate
1|Personal|30020.88|5.05
2|Mortgage|195436.42|7.39
3|Personal|69530.79|6.61
4|Student|225260.43|8.29
5|Auto|72894.52|7.51
6|Personal|224071.42|9.54
7|Personal|354872.6|5.47
8|Auto|393910.47|5.47
9|Auto|488498.76|6.89
10|Auto|26016.8|7.38
11|Student|37737.82|5.87
12|Student|355412.89|3.69
13|Student|149015.98|1.81
14|Student|400177.57|7.53
15|Auto|332780.2|2.92
16|Mortgage|340482.27|7.24
17|Auto|407602.55|6.3
18|Personal|115640.14|8.03
19|Personal|411881.28|3.96
20|Mortgage|434870.02|1.54
21|Mortgage|158117.73|7.1
22|Personal|292092.56|9.62
23|Auto|329773.84|8.25
24|Student|85234.36|3.89
25|Mortgage|432743.87|5.21
26|Auto|82844.48|2.47
27|Student|256764.83|8.01
28|Student|36874.55|5.11
29|Personal|293009.52|4.87
30|Auto|289818.65|3.09
31|Auto|119865.36|3.63
32|Student|473604.8|4.25
33|Personal|183786.7|1.53
34|Personal|102714.84|4.73
35|Auto|98178.67|3.37
36|Mortgage|294276.6|5.34
37|Mortgage|48563.51|6.32
38|Mortgage|287621.95|2.91
39|Mortgage|212603.22|2.15
40|Personal|312766.02|9.87
41|Student|22472.38|1.97
42|Auto|449373.33|5.9
43|Personal|156148.66|7.75
44|Student|277701.22|5.77
45|Student|61424.54|8.81
46|Student|339108.07|5.98
47|Mortgage|293990.25|7.28
48|Auto|7825.18|6.09
49|Auto|221524.44|6.52
50|Personal|406551.45|3.78
