location_id|city|state|country|postal_code
1|West Barbara|North Dakota|Heard Island and McDonald Islands|25414
2|Tiffanyfurt|South Dakota|Palestinian Territory|22105
3|Christensenstad|Montana|Guadeloupe|42505
4|New Annfurt|Arkansas|Zambia|82561
5|South Jessicamouth|South Carolina|Vietnam|22740
6|East Pamelaberg|Maine|Suriname|60029
7|Rodriguezshire|Delaware|Mayotte|77521
8|South Nicolefurt|Nevada|Sudan|97874
9|East Angelaland|South Dakota|Costa Rica|74749
10|Bestside|North Dakota|Australia|85001
11|West Nicholas|North Carolina|Haiti|47620
12|New Emily|Washington|Australia|10331
13|North Ashley|Montana|Swaziland|65673
14|New Steven|West Virginia|Lithuania|40803
15|North Nicoleport|New Mexico|French Polynesia|75987
16|East Jillberg|Connecticut|Samoa|54988
17|Martinchester|Pennsylvania|Malawi|61150
18|Davisburgh|Idaho|Guadeloupe|65943
19|Ronaldtown|Wyoming|Norway|86794
20|Joshuaton|Kansas|Vietnam|15345
21|North Tony|North Carolina|Niger|60072
22|Lake Joelbury|Wyoming|Hong Kong|33793
23|East Eugene|Utah|Faroe Islands|32888
24|Littlemouth|Maryland|Bahrain|71734
25|Port Johnnytown|Massachusetts|Guyana|57933
26|East David|Delaware|Tanzania|24449
27|Danielshire|Tennessee|Kyrgyz Republic|43188
28|Thomastown|Idaho|Seychelles|11783
29|New Maxwellmouth|Louisiana|Sudan|29380
30|Port Ronaldburgh|Massachusetts|Sweden|76416
31|East Robertmouth|Hawaii|Slovenia|15716
32|Jacobchester|Oklahoma|Ethiopia|31169
33|North Alyssa|Virginia|Serbia|48157
34|Mariefurt|Maine|Pakistan|45049
35|North Emilyburgh|Florida|Fiji|31636
36|New Kelly|Indiana|French Guiana|79738
37|Dianatown|Oklahoma|Suriname|82988
38|South Ryan|Illinois|Moldova|82895
39|Dennisville|Florida|Palestinian Territory|38768
40|North Julie|Indiana|Thailand|60590
41|Robinsonborough|California|Wallis and Futuna|55093
42|Brennanton|Connecticut|United States Minor Outlying Islands|93741
43|South Joshuatown|Kentucky|Switzerland|87949
44|New Russellmouth|Michigan|French Polynesia|94199
45|East Justinmouth|California|Austria|25406
46|Lake Jacobtown|Minnesota|Portugal|27575
47|Kimberlyland|Idaho|Morocco|65559
48|Port Robertmouth|Louisiana|United States Minor Outlying Islands|81266
49|North Andrewshire|Idaho|Burkina Faso|42676
50|Duncanburgh|Tennessee|North Macedonia|26062
