interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
66430|969|52|5|23|Email|3
75643|971|52|2|17|In-Person|3
77598|1112|45|1|41|Call|5
75006|720|8|1|16|Email|4
85056|791|16|5|10|Email|5
55967|621|77|1|15|Call|2
86581|200|32|1|2|Chat|1
37727|951|25|1|10|In-Person|1
53704|1472|10|5|19|In-Person|3
41163|1799|45|3|49|In-Person|1
79117|624|28|1|19|Chat|4
23946|1289|25|3|19|Email|4
78034|1468|32|4|1|Chat|5
87215|993|13|3|30|Email|4
70726|710|88|4|21|Email|2
15830|1076|16|2|14|In-Person|3
56272|1766|17|1|3|In-Person|2
93932|565|4|5|3|In-Person|1
95959|1792|65|4|36|Email|1
207|474|79|2|18|Email|1
88589|153|67|4|21|In-Person|2
55994|815|43|2|40|Email|1
62572|229|86|5|39|In-Person|5
84935|930|18|1|50|Chat|2
83846|1420|28|2|17|In-Person|1
42233|1633|13|5|38|Call|2
11192|219|51|1|40|Call|3
96572|1483|71|3|39|Email|1
94225|1245|57|2|11|Email|3
43607|1212|7|4|2|Call|5
1379|1708|97|1|47|In-Person|5
5390|689|23|3|45|Email|1
44188|1091|9|4|23|In-Person|4
84220|526|42|2|14|Email|2
95122|1229|64|1|12|In-Person|5
45025|1361|20|2|27|Email|2
75193|113|61|5|34|Email|2
97523|859|46|1|49|In-Person|2
91110|1590|37|4|4|Call|2
18094|1006|58|2|23|Call|3
62740|1698|31|1|41|In-Person|1
33574|1277|37|4|47|Call|2
97804|1565|82|1|15|Chat|4
12292|1339|40|2|37|Call|5
36932|1069|85|5|15|In-Person|1
4647|713|52|1|25|Email|2
59664|517|78|5|44|In-Person|5
91679|681|71|2|30|In-Person|1
58545|153|65|3|21|Chat|5
7305|596|25|4|43|Email|2
8774|1510|29|4|46|Chat|2
93606|896|56|4|9|In-Person|4
31251|1538|34|4|10|In-Person|3
85013|916|39|1|22|Call|3
23653|1803|33|3|3|Call|5
1356|45|44|2|14|Email|5
82092|1736|17|2|38|Chat|3
61434|1540|23|2|29|Chat|1
14433|43|55|3|46|Email|4
19196|1261|20|2|8|Call|3
12073|1485|39|4|8|In-Person|2
30711|773|39|4|34|Call|3
24728|1073|28|5|5|In-Person|2
12264|1066|52|3|3|Call|5
32965|1381|73|5|29|Chat|4
20926|556|1|5|25|Email|4
28225|755|65|5|17|Call|2
45013|503|61|4|3|Call|4
81108|456|16|5|9|Email|5
85937|1334|77|2|14|In-Person|5
84380|1603|16|5|26|Call|4
87375|1230|68|3|5|In-Person|2
23233|380|25|2|24|Call|1
97570|922|93|3|21|Chat|5
61948|1176|37|5|8|In-Person|3
56076|30|46|1|17|In-Person|5
63656|1588|91|4|28|Email|5
79936|1765|100|5|16|Call|3
52964|556|61|5|19|In-Person|5
86871|1526|6|5|11|Call|3
33475|887|70|3|38|In-Person|1
69420|1169|13|1|30|Chat|5
32735|583|24|3|11|Email|4
21314|1454|45|2|21|In-Person|3
5985|154|68|1|42|In-Person|2
71640|519|67|1|19|Email|3
85565|1756|32|1|28|Call|4
93601|210|57|2|34|In-Person|1
31427|1736|58|2|45|Email|1
95851|334|49|1|21|Call|5
57002|1600|27|2|35|Call|4
79691|551|21|4|22|Call|3
92854|1379|63|3|43|Chat|3
95932|876|14|5|4|Chat|3
52771|1084|55|5|41|Chat|1
16166|1105|83|5|6|Email|1
81556|1493|75|2|4|Call|2
76882|1227|1|4|30|In-Person|4
53847|857|9|2|30|Email|3
9730|1798|55|5|4|In-Person|2
37553|980|55|1|43|In-Person|3
69964|1052|80|3|24|Chat|5
91080|485|58|4|37|Call|3
44756|1143|16|2|44|Chat|2
5433|996|36|4|18|In-Person|3
43255|208|10|4|35|Call|4
11598|949|20|2|15|In-Person|1
72284|129|88|3|34|Call|1
87372|903|43|3|49|Chat|1
79429|332|1|2|45|Call|3
10694|1413|43|4|37|Email|5
93100|569|59|4|38|Chat|3
47176|1628|32|3|44|In-Person|2
70506|1381|64|1|49|Call|3
92391|44|96|5|35|Email|5
95536|371|78|1|30|Email|1
80783|146|66|4|2|Chat|1
64188|1279|45|4|20|In-Person|1
97742|466|21|4|40|In-Person|5
16436|1394|4|4|9|Chat|3
43645|1265|45|2|42|In-Person|2
34911|208|32|3|14|Call|4
23249|196|52|3|30|Call|2
959|518|8|3|45|Chat|2
88619|1539|72|2|25|In-Person|5
3731|529|51|1|19|Chat|4
67588|828|20|1|46|Chat|2
39504|261|35|4|5|Email|3
47964|225|65|1|22|Chat|1
60314|733|70|1|31|In-Person|4
99336|1466|21|5|35|Email|4
86545|1762|43|4|45|Chat|4
95022|1717|33|4|50|Call|1
36935|1721|54|3|48|Call|4
82405|1079|36|5|6|Call|2
49405|704|26|4|28|Call|5
45753|1121|93|5|5|Call|1
93001|1726|66|1|15|Chat|4
91631|1083|63|4|29|Chat|2
78494|1174|10|3|15|Chat|5
50425|1373|27|3|25|In-Person|2
34624|173|25|3|44|Email|5
88515|278|81|3|4|Email|2
91270|188|18|2|12|Chat|4
62648|1304|31|3|18|Email|3
73677|1212|55|3|12|In-Person|3
12374|1651|86|4|37|Chat|2
9306|431|3|3|19|Call|3
68733|102|25|5|24|Call|2
72684|594|44|4|30|Email|4
69889|291|13|5|14|Email|5
26859|908|20|1|3|Chat|1
50101|245|73|1|20|In-Person|1
74769|663|85|5|2|In-Person|5
7504|1252|73|5|27|Email|2
28849|310|14|1|42|In-Person|5
27387|288|48|3|13|In-Person|4
91231|1574|74|2|12|Email|1
27924|760|58|2|42|Email|3
56482|475|58|3|11|Chat|2
73831|1069|32|5|33|Chat|3
46411|1514|75|5|14|In-Person|3
33211|670|40|2|24|In-Person|4
28345|582|19|3|41|Chat|5
39470|598|67|5|50|Email|4
68871|420|81|5|17|Call|4
56269|810|44|1|33|In-Person|5
20143|1307|88|4|7|In-Person|1
30105|787|82|3|12|In-Person|3
41798|1792|39|2|44|Chat|1
9332|977|8|1|29|Email|4
14991|1587|15|3|29|Email|4
81105|680|98|1|25|Chat|2
1169|520|88|4|35|In-Person|2
1497|361|70|4|11|Chat|2
86556|257|86|4|23|In-Person|5
6357|829|78|3|43|Email|4
31143|1388|4|2|1|Chat|4
50591|1240|40|1|3|Email|3
71520|1110|52|2|28|Call|4
28084|832|14|1|6|Chat|5
24367|1334|10|4|30|Call|5
80601|1046|12|3|2|In-Person|4
22434|1518|10|3|27|Call|2
52681|872|3|5|12|In-Person|4
1660|1144|100|4|33|Call|3
13332|671|90|4|3|Chat|4
11582|792|21|2|45|In-Person|2
73617|828|87|5|48|In-Person|5
21294|480|94|1|14|Email|1
34197|1256|90|5|37|Chat|1
65002|552|19|5|16|Chat|1
58585|1463|23|4|26|Email|5
416|302|72|4|6|Call|4
39455|994|29|3|27|Email|5
