balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
22294|1073|92|3|197287.24|621861.81|409036.42
96516|1353|90|3|658406.86|782788.72|705687.825
50319|1104|84|3|186151.73|649787.93|321440.845
53637|290|44|3|150149.54|65448.88|766938.205
69265|631|32|2|114601.43|345488.13|458061.155
69793|85|92|1|499914.26|271461.84|516149.08
7851|144|100|2|965498.15|15914.02|831520.62
59471|141|21|3|326000.64|605744.41|369612.16
48911|1807|33|2|352881.84|8004.57|886469.925
16624|609|97|1|860032.66|485443.77|489760.765
42276|756|11|2|51852.61|934935.2|614292.825
54115|903|50|3|513221.31|530019.71|891037.29
81885|248|48|3|147234.79|238.53|535970.545
89574|1702|5|1|709386.9|902225.73|434378.625
98103|643|5|3|900216.45|459188.81|428732.29
30357|908|32|3|296457.86|956198.56|963869.495
783|1125|22|1|671102.55|262219.17|590631.08
6175|131|50|2|187542.46|725967.36|43313.715
98759|184|81|3|319568.29|543367.86|433636.13
449|1204|8|3|225106.41|363525.48|235179.77
79225|562|22|2|571649.95|73512.95|224874.3
15948|1603|23|3|466475.93|186883.51|551879.615
98968|1507|46|3|631722.91|873340.68|486269.175
74195|989|65|2|936064.7|567282.1|674845.95
87079|972|5|1|381503.86|115473.02|218044.165
70797|1641|38|2|678152.34|21117.37|313288.345
78228|1051|80|2|980770.75|646311.6|392340.14
58401|1358|9|1|757853.45|313536.39|669259.28
90347|1710|45|2|965367.88|772074.58|653814.17
50924|551|93|3|224439.55|17043.6|692861.74
67060|123|65|3|201851.47|676063.69|437298.61
44102|357|69|2|675899.09|221280.29|265449.805
59940|520|2|1|454059.23|418587.79|733303.985
80820|495|31|1|494062.95|855341.91|290469.18
55940|983|96|2|396694.15|28686.27|92814.595
52781|1507|53|2|188380.41|773006.13|564890.39
74822|1215|67|2|445551.1|211018.78|169341.52
23425|570|71|3|220989.82|171485.65|405940.21
18523|1178|33|1|776966.83|693359.24|303692.285
5095|1561|92|1|417010.61|392075.77|271446.71
43819|623|40|3|164034.03|972573.02|544573.07
21465|72|98|2|281528.09|609316.23|430888.885
52616|1382|84|1|717443.13|372243.41|695032.06
40840|247|72|3|509428.98|456592.28|488133.59
23377|239|56|1|521229.13|78975.75|600567.71
36943|198|44|2|82611.06|616944.22|221910.0
85190|378|13|2|107097.58|627924.02|911350.67
7560|953|51|3|715088.96|177303.17|650051.26
54722|896|86|3|867325.87|993120.36|290901.93
31490|95|86|3|269166.13|717072.7|953785.575
21190|1111|8|3|149929.69|800169.66|609711.315
87385|1470|20|2|718398.15|996742.26|387890.16
84310|415|84|1|550989.15|15463.76|255523.875
14303|1367|41|2|996097.8|602688.93|766498.17
22376|1030|37|2|237801.99|689880.01|850638.06
72800|564|79|3|480199.34|692701.85|365797.36
34657|821|6|1|582456.77|913440.46|487132.225
28930|151|67|1|815995.03|469930.09|647964.695
49526|367|76|1|410199.05|984779.15|704402.14
84938|738|76|2|720240.08|300620.05|249540.395
5068|1117|51|2|432803.35|140813.79|707202.915
44901|1305|78|3|967558.46|203239.61|434276.215
70889|1102|12|3|763015.98|643957.66|132896.94
67227|562|86|3|455638.61|166960.48|330372.505
66399|1773|49|3|354767.05|159745.29|908662.295
10653|1040|79|1|598737.82|458473.98|680198.42
27699|849|58|1|642998.91|821299.78|593469.2
87479|294|43|1|260410.68|149559.72|616178.485
8271|730|68|2|380541.43|497586.58|839854.485
41618|1536|20|3|915815.97|476944.04|688061.0
60589|915|79|1|69748.3|484882.96|817896.27
66207|788|28|3|771926.32|654926.47|215352.665
91809|1306|82|3|674962.19|241238.68|652781.48
40876|1674|44|2|266639.35|802472.93|191397.325
58743|412|17|1|34434.62|747073.04|632087.69
50768|1389|17|2|677497.54|383867.27|608393.135
67740|107|14|1|118081.68|464313.58|571836.375
55572|75|93|2|565745.61|977775.73|276387.37
55840|1557|82|2|662125.86|381801.13|612020.725
71396|694|69|3|596606.27|308639.92|577183.89
3965|1452|34|3|728262.9|487641.18|700899.315
24390|1154|59|1|302799.87|216243.36|379973.93
28896|1404|48|3|505586.3|133376.79|266007.22
76459|1330|5|3|940660.4|664267.09|335710.59
1155|156|48|2|903692.37|387191.08|538245.74
12186|1177|28|2|613461.13|647919.56|482467.805
92595|648|69|3|763036.82|71365.29|156710.535
60424|261|69|2|252111.24|571461.07|485719.24
63560|849|85|2|730174.45|504096.94|653129.015
42539|833|97|3|608555.71|704916.83|547054.46
97068|1539|50|1|784737.47|122731.7|778590.065
10052|313|80|1|426578.72|97595.19|386482.56
79713|808|68|1|634437.03|36822.29|361508.3
4499|66|40|2|776144.03|3314.26|92197.725
61390|1190|42|2|997692.08|53919.81|326788.555
86625|334|100|1|248894.78|202900.17|244891.655
99539|1262|45|3|5095.88|216780.49|416470.865
25221|1745|82|3|888213.94|761322.14|521364.7
69895|760|45|1|958927.72|697280.56|403973.77
41865|892|94|1|381259.89|503180.2|486182.285
60084|952|54|2|625104.11|186089.82|855171.05
61241|957|74|2|761231.36|869209.71|79744.95
10992|588|17|2|666943.56|456685.22|813228.07
97091|192|89|2|933970.56|461865.35|466480.385
66302|377|73|1|691430.15|43603.19|694257.525
12083|1224|16|2|905174.56|408781.91|672080.03
56812|367|16|1|677992.26|838210.61|357570.52
67165|488|13|1|326799.18|629764.61|513613.575
53220|1574|99|2|262274.89|512888.89|915454.6
