investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
23139|303|4|21|31|3|605670.09|-3038.9
16656|1782|3|71|5|2|179268.37|-986.2
38649|1026|2|58|49|2|852826.5|4894.01
27125|1411|3|61|32|1|775704.33|1801.17
80462|1528|1|100|20|2|256515.63|12684.0
93015|75|2|73|6|1|68563.76|12971.96
96344|812|5|38|6|2|574220.61|6506.84
9072|1545|1|50|24|1|337186.17|-3474.29
67027|1488|3|87|4|1|632704.31|-1959.35
49780|1271|2|17|17|1|966579.35|13802.95
65188|1522|4|25|20|3|523597.17|3048.1
32499|1637|3|12|16|3|117362.63|3015.25
18231|724|2|63|31|2|863505.2|7100.95
18267|818|5|30|1|1|306109.43|9966.13
49185|780|3|89|2|2|530431.62|4367.82
24953|718|2|15|7|2|198188.43|13525.49
31155|841|2|82|11|3|769094.69|10772.55
30325|645|4|100|48|3|579953.65|4197.14
33125|1446|2|35|8|3|132507.65|-1458.72
25826|1549|4|6|13|3|824679.69|2837.48
74177|1459|2|54|19|2|253250.94|-2379.6
50721|121|5|88|7|2|640242.67|10245.58
93796|635|4|3|32|3|486388.88|5656.41
54557|79|5|66|34|2|711744.93|14109.62
37433|1022|1|70|43|1|249757.29|3883.26
14375|408|3|65|16|2|143397.69|-2687.03
42584|732|5|65|22|1|757472.53|13074.45
37461|621|1|20|22|2|673494.96|14442.09
80031|37|5|91|33|3|421342.3|7409.85
69190|626|2|54|18|2|273716.82|-4568.32
41729|48|4|72|36|3|451266.71|2748.34
99736|1397|2|98|50|3|511281.73|8879.29
49825|1330|2|6|13|1|860477.78|-796.69
81461|360|5|36|23|3|387336.19|10009.04
7764|241|2|63|27|3|104794.43|6311.53
29913|1825|5|29|30|1|73532.46|11740.3
57316|1548|3|46|28|1|809672.48|5746.95
22900|1136|1|92|39|2|336688.32|7219.26
71498|1824|2|40|15|3|969941.77|-838.05
80648|692|3|59|8|3|548957.54|14898.48
46558|561|2|78|25|1|237083.53|-777.77
4104|920|1|50|24|1|230554.03|710.55
89088|606|5|30|14|1|493223.02|-3220.72
8943|1675|5|25|17|3|49069.82|387.2
84747|1264|2|87|27|2|728915.28|-1683.47
7837|586|2|33|47|2|769616.92|9882.73
67830|93|1|7|29|3|9640.78|7234.79
97217|113|4|25|35|1|647753.36|14228.91
50648|1299|4|62|16|3|484931.93|10819.46
9489|144|1|50|20|2|900090.37|4443.94
26372|1615|2|50|18|1|901409.67|-1534.35
79129|1581|2|33|9|3|217387.86|-4819.8
74357|804|3|11|50|2|353577.87|-3719.7
68096|1769|1|41|29|3|683581.42|13307.21
18200|158|1|81|35|1|710086.95|13557.59
56900|1176|4|37|45|2|53824.13|4811.07
17329|36|5|32|48|1|426795.11|-854.34
73231|311|1|16|36|1|864440.13|11738.08
43218|624|2|17|37|1|665379.41|2358.1
71293|552|3|56|32|3|836340.1|-1374.01
25677|1320|3|10|30|1|352818.59|1733.05
38385|1754|1|69|30|3|152015.46|-3293.85
31398|84|3|29|7|2|608424.8|2197.49
99229|841|5|75|21|2|11582.17|-4508.19
63333|1195|2|91|26|3|338708.26|1657.5
67489|1202|5|11|19|2|343801.66|12091.21
93221|1481|4|77|46|2|915100.86|-4893.24
51935|462|4|37|20|1|162293.19|448.33
48772|1718|3|19|1|3|332456.19|7653.4
31169|736|2|9|3|2|942072.0|8528.33
86735|1053|3|87|17|3|174709.73|12634.19
18154|1323|2|16|49|1|329635.7|10925.44
89532|975|4|6|19|3|939127.32|5799.56
84465|639|3|5|10|3|257494.89|-2593.95
60773|1823|4|69|7|2|333799.56|11067.23
98736|816|4|18|2|1|637656.2|-2376.39
15638|277|3|18|50|3|314427.67|12476.2
71712|109|4|68|11|1|146468.16|-4663.84
24820|1739|1|94|35|2|702886.48|11104.94
69778|485|2|38|21|1|468561.87|-2979.19
57902|1224|5|30|2|2|834127.42|173.94
99994|1452|3|92|34|3|309980.07|3800.5
81820|1495|4|59|45|3|762929.58|417.86
22021|1120|1|21|46|2|33971.33|8160.73
69887|143|1|29|42|2|188261.25|8880.24
79714|981|4|15|19|1|347225.16|4889.04
