loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
23092|1145|33|29|10|1|262242.68|Pending
18135|771|32|76|33|3|414205.42|Approved
27078|140|24|29|12|2|393853.77|Pending
46054|1638|18|18|1|1|43405.24|Pending
23786|1694|49|5|4|3|499216.62|Pending
79926|446|26|34|43|2|392551.99|Rejected
79751|121|49|100|19|1|156343.24|Rejected
3980|895|20|6|41|1|435377.64|Approved
70887|1103|19|37|3|3|178185.72|Rejected
610|663|44|78|6|2|70194.99|Rejected
6426|1597|27|56|26|2|39512.37|Pending
90772|1357|26|42|5|2|177369.69|Pending
50035|791|34|12|23|3|136855.88|Pending
79399|963|22|51|36|3|232949.45|Rejected
5854|718|16|60|25|1|241048.3|Rejected
26297|1142|36|26|24|1|121983.2|Pending
8806|1159|2|41|8|2|294614.94|Rejected
37132|353|3|36|13|3|321539.5|Pending
5539|101|47|46|38|1|196323.77|Pending
57511|633|13|46|2|2|435789.13|Rejected
37130|1316|10|44|8|2|265687.2|Approved
85411|1399|31|78|1|1|15803.68|Rejected
32941|1311|30|14|17|1|265780.42|Approved
61429|1657|31|92|41|1|258935.25|Approved
28869|1472|16|26|36|1|304105.23|Approved
23574|995|36|5|34|3|346569.97|Rejected
50199|518|25|48|32|1|429603.65|Rejected
77579|1593|8|12|25|1|494943.6|Pending
670|998|37|64|5|2|310197.16|Approved
431|1760|36|28|44|1|125847.46|Approved
55318|417|1|49|10|1|403278.8|Rejected
74745|989|2|85|32|2|31277.58|Pending
477|95|48|37|11|2|5313.09|Approved
96455|1393|40|29|17|3|140074.34|Pending
28054|816|35|1|15|2|249703.1|Rejected
88147|140|25|78|9|1|24188.01|Approved
11569|138|15|25|25|3|224790.85|Approved
97392|512|46|27|9|3|62188.47|Rejected
34745|623|21|48|30|2|240265.37|Pending
26555|99|15|37|24|3|429326.24|Rejected
15101|1078|40|2|17|3|289650.37|Approved
20403|884|6|60|5|2|448323.62|Pending
23148|1476|16|78|43|3|378847.49|Rejected
26829|824|14|96|6|2|329412.68|Pending
58883|97|1|34|45|3|336292.13|Rejected
18622|329|7|27|48|2|388929.29|Approved
44994|945|6|65|34|1|97879.4|Pending
83448|56|50|67|5|1|462301.63|Approved
85780|1395|13|75|33|2|324535.66|Pending
49233|165|17|15|21|1|352272.98|Pending
