transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
70459|857|4|85|2|48|2|5688.67|Completed
63276|114|4|24|2|10|1|3114.63|Failed
20474|983|2|100|1|18|3|2325.24|Pending
78276|1336|4|100|3|15|3|5982.75|Failed
19443|1802|2|13|4|49|2|9888.44|Pending
38795|1490|4|67|1|8|1|3881.89|Completed
65031|587|3|23|4|4|2|7908.98|Pending
82611|1786|4|83|1|47|2|6506.46|Pending
22175|1415|3|100|4|15|1|3916.88|Failed
37575|1555|3|56|5|10|3|1766.1|Pending
78306|1499|1|71|3|17|2|3916.0|Failed
90354|680|4|17|4|4|2|6.42|Pending
20034|713|1|68|4|27|3|3008.0|Completed
6515|1107|4|74|5|32|2|1922.8|Pending
28718|883|3|60|3|41|3|3717.24|Completed
19606|983|2|19|4|35|3|4489.79|Pending
12265|19|4|58|4|12|3|6285.64|Pending
40880|1706|3|12|4|44|2|2153.04|Completed
92589|1377|3|3|2|18|3|4947.5|Pending
97504|1537|4|23|5|32|3|7215.89|Pending
70064|785|3|52|4|35|3|6013.4|Pending
52251|791|4|59|3|30|3|1735.19|Completed
73189|715|2|45|4|24|1|2940.18|Pending
22052|1058|1|21|3|29|2|5330.83|Pending
28712|1016|3|10|3|34|3|922.84|Failed
66142|671|1|19|2|32|2|9422.93|Completed
77080|1088|2|35|3|9|3|654.41|Failed
12947|1249|3|95|5|30|2|1514.28|Pending
39165|1761|4|48|5|18|2|843.13|Pending
9759|1425|3|51|5|40|1|5241.68|Failed
71550|193|4|31|5|32|2|4742.56|Failed
6365|125|3|17|2|25|2|6187.7|Failed
68404|478|4|79|5|32|3|576.41|Pending
9191|707|2|7|2|37|2|7371.62|Completed
68745|1765|3|37|1|13|3|885.9|Failed
69539|772|2|98|4|36|1|6973.46|Failed
79430|314|1|29|3|10|1|3680.73|Failed
20102|63|4|4|1|5|1|3545.73|Completed
95793|709|4|57|3|37|3|3805.57|Pending
77074|1506|4|60|3|49|2|7054.33|Pending
6634|1542|4|67|2|2|2|5368.07|Pending
41873|1283|3|19|2|35|1|4455.73|Pending
10017|946|3|53|2|28|2|3486.55|Pending
95635|1635|2|5|4|23|3|9828.24|Failed
97520|1562|1|89|4|5|2|3150.5|Failed
38921|1517|1|28|2|26|1|3986.74|Completed
74231|1165|1|80|3|32|2|7889.19|Pending
12575|852|4|9|5|45|1|776.86|Completed
42119|1008|1|63|3|6|2|9069.33|Failed
32438|753|4|31|4|22|1|5607.85|Pending
86099|1709|2|25|1|49|3|374.1|Failed
23937|994|1|29|3|21|1|5051.53|Pending
58243|544|3|26|3|19|1|4335.92|Failed
40893|1245|3|27|2|23|3|9328.47|Completed
52130|291|3|59|3|3|3|9003.12|Failed
5593|425|2|74|2|33|2|1801.37|Failed
5189|1738|1|32|1|23|3|531.87|Completed
87334|930|4|95|1|23|2|3410.44|Pending
19014|60|1|60|1|48|3|5542.66|Completed
42273|697|3|37|3|42|2|8392.86|Completed
71544|711|1|51|5|40|3|24.17|Completed
99636|676|3|92|1|48|2|9419.11|Completed
13895|1226|1|66|1|26|2|1629.0|Pending
2864|853|1|80|1|15|1|7981.06|Completed
56777|1769|3|14|1|34|2|830.97|Completed
58251|966|2|74|3|45|2|8709.72|Pending
65383|1405|3|62|4|32|1|7206.58|Completed
15790|96|3|51|4|28|2|6514.8|Completed
57774|333|2|42|3|4|2|5823.42|Completed
11495|558|1|85|5|14|1|2519.32|Failed
29407|249|4|97|3|28|2|390.43|Pending
26613|204|2|47|1|17|3|9757.79|Completed
98489|1567|1|70|2|8|1|1970.67|Pending
80303|1655|1|66|5|19|3|2802.59|Completed
68518|451|3|29|5|42|2|6414.25|Failed
44862|573|3|17|2|41|3|8334.64|Pending
56091|1110|2|61|1|31|1|8651.41|Completed
89075|403|1|4|4|26|2|422.41|Completed
50423|131|1|60|5|5|3|223.91|Failed
2602|1297|3|26|4|49|3|2271.52|Completed
61536|1426|2|86|1|19|2|1313.33|Pending
80641|31|3|3|3|35|1|2377.03|Failed
15946|485|1|3|5|16|2|7006.8|Completed
29633|351|1|15|2|27|1|3772.76|Completed
5634|477|1|15|1|1|1|6777.44|Pending
4011|785|3|12|1|30|3|9090.01|Failed
34888|1030|4|36|2|15|1|400.08|Pending
65760|1190|4|60|5|17|3|3107.78|Completed
29151|298|1|48|1|22|1|1534.18|Failed
94762|866|1|67|4|34|3|314.59|Failed
12100|248|3|68|1|13|3|5274.39|Failed
84534|1653|1|33|4|31|1|2329.46|Completed
59326|445|2|73|5|25|3|177.83|Failed
47382|851|2|16|5|44|1|4468.96|Failed
5156|1315|2|28|1|18|1|4076.0|Failed
60064|1520|1|70|5|31|1|8471.85|Completed
25492|1193|2|5|5|10|2|2587.8|Completed
62596|1104|3|55|3|48|1|8519.61|Failed
81152|493|1|86|2|34|1|1990.53|Completed
73557|41|4|77|5|8|3|7466.22|Pending
16597|469|2|30|4|12|3|1483.44|Completed
37008|687|2|7|4|40|1|6601.96|Completed
41249|249|3|44|1|42|3|3886.86|Failed
29963|975|1|64|5|18|3|5331.59|Completed
98191|931|1|21|5|30|2|7922.93|Pending
42967|1004|2|83|5|18|1|3367.82|Pending
34778|303|3|73|5|45|1|8510.75|Failed
88884|203|2|93|2|31|1|8508.59|Completed
95652|592|1|80|2|28|3|6578.24|Pending
28919|231|2|94|2|30|1|3524.67|Completed
3687|583|1|29|3|10|3|3943.98|Completed
51657|506|2|28|4|41|2|5162.18|Failed
16217|1207|1|83|1|25|2|5212.13|Completed
39751|853|3|98|2|48|2|8429.95|Pending
34373|524|1|42|5|11|3|6572.75|Completed
77427|13|2|61|1|47|3|7134.28|Failed
78097|373|4|96|2|49|2|3131.81|Pending
59918|449|1|12|3|18|3|1652.92|Failed
7564|891|2|55|2|22|3|2633.46|Completed
39583|480|4|58|2|13|1|8266.23|Pending
26766|1691|2|56|4|7|2|4607.95|Pending
63725|1456|2|19|1|49|2|9384.24|Pending
37501|1629|4|79|1|22|3|6084.4|Failed
60799|1738|2|39|5|32|3|7961.81|Completed
21386|520|3|65|3|48|1|739.73|Failed
58878|1819|4|6|2|9|2|3212.47|Completed
54850|538|4|84|3|6|2|5471.91|Failed
91895|1241|4|40|3|7|2|7137.17|Pending
33465|420|1|70|1|11|1|1076.43|Completed
88245|1690|2|7|1|27|3|345.98|Pending
7214|1265|2|69|4|13|3|3794.19|Pending
27818|754|2|27|3|39|1|5201.36|Completed
77313|1715|1|3|5|34|3|8748.68|Failed
67325|103|4|54|5|24|3|61.89|Pending
18679|692|4|78|4|15|1|9347.24|Completed
68854|169|3|23|1|26|3|9937.2|Failed
53758|770|1|24|3|25|2|8137.84|Failed
91358|1016|1|38|5|17|1|3597.24|Failed
87444|932|3|77|2|1|1|7529.29|Failed
99151|1324|2|93|3|2|1|6592.34|Pending
6201|778|1|89|5|5|2|6840.44|Pending
63275|1018|2|84|1|23|1|2658.48|Failed
56235|272|3|96|2|9|3|8980.74|Failed
22287|805|3|67|5|8|1|7066.65|Pending
32175|1114|4|36|1|9|2|2729.12|Completed
61929|1371|1|59|4|42|3|47.13|Pending
93572|702|3|7|4|11|3|5656.04|Pending
2800|903|2|51|5|35|1|7066.21|Failed
42434|794|1|88|2|19|2|8845.08|Pending
44538|1791|3|54|3|26|3|4567.89|Failed
34634|1548|3|26|1|31|2|8889.53|Pending
32552|152|4|42|3|44|2|1926.91|Pending
17027|505|4|53|1|8|3|5242.68|Failed
77384|1226|4|93|1|43|3|3286.74|Pending
30017|315|4|86|5|27|2|9160.71|Pending
16370|1658|1|16|3|31|1|698.69|Completed
12342|32|2|92|2|35|3|1425.65|Completed
50763|274|1|85|3|30|2|5158.84|Failed
21952|1325|4|87|3|22|2|9318.18|Completed
39427|580|2|79|1|41|1|8709.5|Completed
66170|906|2|19|3|2|3|145.71|Failed
27001|468|3|17|1|17|3|2128.73|Pending
65804|1347|3|74|4|19|2|9095.6|Failed
90670|1662|2|94|4|4|3|3228.44|Pending
89745|1666|2|30|1|11|1|3307.07|Failed
95630|314|1|45|5|35|1|9369.56|Failed
5512|1133|3|6|1|9|1|6854.86|Completed
31154|1474|2|26|5|32|3|2921.29|Completed
70317|379|1|37|4|9|1|4856.53|Failed
75305|932|3|64|2|26|1|4655.36|Failed
73494|950|1|57|2|42|1|1831.64|Failed
71454|474|2|1|3|45|1|4053.75|Completed
88578|347|1|38|2|36|1|966.17|Completed
36638|1278|4|82|5|45|1|5847.81|Pending
66299|1405|3|5|5|2|3|7171.61|Pending
87819|1325|3|24|5|1|2|9450.2|Pending
